phase,case,batch,seq,cache_len,ok_count,fail_count,latency_median_ms,latency_mean_ms,latency_min_ms,latency_max_ms,latency_std_ms,aggregate_delta_ms_vs_hf,aggregate_speedup_vs_hf,max_abs_diff_median,max_abs_diff_max,mean_abs_diff_median,mean_abs_diff_max
decode_core,hf_sdpa,1,1,128,48,0,0.047403411008417606,0.07540008324819307,0.03968421369791031,0.22227782756090164,0.06281676014103911,0.0,1.0,,,,
decode_core,official_ifa,1,1,128,48,0,0.047402409836649895,0.047827097781312965,0.03494219854474068,0.11292281560599804,0.01051772095275953,-1.0011717677116394e-06,1.000021120693466,0.0,0.0,0.0,0.0
decode_full_layer,hf,1,1,128,48,0,0.850245775654912,0.8473453965658942,0.723697803914547,1.0558106005191803,0.0660510555186259,0.0,1.0,,,,
decode_full_layer,official,1,1,128,48,0,0.8874241029843688,0.8895707714448994,0.7400879636406898,1.4102334156632423,0.11847020135944351,0.037178327329456806,0.9581053442154347,0.0,0.0,0.0,0.0
decode_full_layer,official_fused_both,1,1,128,48,0,0.7211748277768493,0.7338498660828918,0.6208410020917654,1.7870923969894648,0.16119628757462778,-0.12907094787806273,1.1789731739194877,0.0078125,0.041015625,0.0010234088986180723,0.00813341699540615
decode_full_layer,official_fused_rmsnorm,1,1,128,48,0,0.814604596234858,0.8749971680420762,0.6932816002517939,2.2254860028624535,0.2597032215510503,-0.03564117942005396,1.0437527354802432,0.00830078125,0.0625,0.0009902064921334386,0.008221258409321308
decode_full_layer,official_fused_rope,1,1,128,48,0,0.7861593272536993,0.7728087027013922,0.6698574405163527,0.9270933922380209,0.06432202838357058,-0.06408644840121269,1.0815183973267692,0.0029296875,0.03125,0.0003678355133160949,0.002209622412919998
prefill_core,hf_sdpa,1,128,,48,0,0.07662773132324219,0.18382967973593622,0.07207440212368965,0.6882156245410442,0.22411153482413534,0.0,1.0,,,,
prefill_core,official_pfa,1,128,,48,0,0.19543461967259645,0.24290307483170182,0.16907122917473316,0.5131199955940247,0.11647976181159113,0.11880688834935427,0.3920888297662587,0.0,0.0,0.0,0.0
prefill_full_layer,hf,1,128,,48,0,0.868106004782021,1.0258240023783098,0.7276238407939672,1.8247725907713175,0.3654001736898005,0.0,1.0,,,,
prefill_full_layer,official,1,128,,48,0,1.1348921805620193,1.2127077682331826,0.9731217753142118,1.9188593607395887,0.2203293525767407,0.2667861757799983,0.7649237695444505,0.0,0.0,0.0,0.0
prefill_full_layer,official_fused_both,1,128,,48,0,0.9898248827084899,1.063089130911976,0.8611409924924374,1.5765205956995487,0.21387527229945588,0.12171887792646885,0.8770298867478401,0.02783203125,0.15625,0.0010732044465839863,0.008960614912211895
prefill_full_layer,official_fused_rmsnorm,1,128,,48,0,1.070633577182889,1.1373281381869067,0.934345368295908,1.5736025758087635,0.19372924904072605,0.20252757240086794,0.8108339055330491,0.02392578125,0.25,0.0010603928822092712,0.008918068371713161
prefill_full_layer,official_fused_rope,1,128,,48,0,1.0493444046005607,1.1354162057007973,0.9142351802438498,1.685731578618288,0.24467756496728615,0.18123839981853962,0.8272841604491815,0.015625,0.125,0.00030890334164723754,0.0020167571492493153
