phase,case,batch,seq,cache_len,ok_count,fail_count,latency_median_ms,latency_mean_ms,latency_min_ms,latency_max_ms,latency_std_ms,aggregate_delta_ms_vs_hf,aggregate_speedup_vs_hf,max_abs_diff_median,max_abs_diff_max,mean_abs_diff_median,mean_abs_diff_max
decode_core,community_v2,1,1,1,3,0,3.863804663221041,3.853604533813066,3.744106972590089,3.9529019656280675,0.08554480019025887,3.7912673627336817,0.018773542352653255,0.0,0.0,0.0,0.0
decode_core,community_v2,1,1,1024,3,0,3.7596840411424637,3.815517812553379,3.752004044751326,3.934865351766348,0.08444967702044136,3.705280367285013,0.014470278156916271,0.0001220703125,0.00048828125,1.2480304576456547e-06,9.347946615889668e-06
decode_core,community_v2,1,1,128,3,0,3.7105736943582692,3.8195744725979037,3.668043374394377,4.080106349041064,0.1850402677100375,3.6575363483279943,0.014293570320652977,0.0,0.0,0.0,0.0
decode_core,community_v2,1,1,16,3,0,3.9629123639315367,3.976111222679416,3.957958659157157,4.007462644949555,0.022260855876303838,3.8894350485255322,0.0185412415562753,0.0,0.0,0.0,0.0
decode_core,community_v2,1,1,256,3,0,3.811090951785445,3.7981475341237254,3.6678529965380826,3.915498654047648,0.1015143404201611,3.759813650200764,0.013454756717537309,2.384185791015625e-07,0.00048828125,5.820766091346741e-11,2.4586915969848633e-07
decode_core,community_v2,1,1,32,3,0,3.866264596581459,3.8679047332455716,3.862234608580669,3.8752149945745864,0.005424643849783852,3.7927672577401004,0.01900990917857639,0.0,0.0,0.0,0.0
decode_core,community_v2,1,1,512,3,0,3.907811672737201,3.8991226659466824,3.872144656876723,3.917411668226123,0.019474765011520945,3.853237722069025,0.013965348189348657,1.9073486328125e-06,1.52587890625e-05,5.238689482212067e-10,3.725290298461914e-09
decode_core,community_v2,1,1,64,3,0,3.83164764692386,3.76022265603145,3.498134979357322,3.950885341813167,0.1916104897423597,3.779337275773287,0.013652187249672902,0.0,0.0,0.0,0.0
decode_core,community_v2,128,1,1,3,0,3.7318136698255935,3.7479948821581073,3.6979866369316974,3.8141843397170305,0.04879788422708218,3.5777989930162826,0.04127073065159462,0.0,0.0,0.0,0.0
decode_core,community_v2,128,1,1024,3,0,3.8815282750874758,3.897611750289798,3.8794150265554586,3.931891949226459,0.024255109210120668,2.278718554104368,0.41293264080292863,0.000244140625,0.0009765625,1.4477026297754492e-06,7.804737833794206e-06
decode_core,community_v2,128,1,128,3,0,3.839167688662807,4.062303911066717,3.808270674198866,4.53947337033848,0.3376454511485638,3.4376042895019054,0.10459647291435904,0.0001220703125,0.00048828125,4.658090801967774e-09,4.2140982259297743e-08
decode_core,community_v2,128,1,16,3,0,3.9263182940582433,3.880428098556068,3.744176977003614,3.970789024606347,0.0980397455528343,3.772563611467679,0.03916001482183535,0.000244140625,0.0009765625,3.5144012144883163e-09,7.115204425645061e-08
decode_core,community_v2,128,1,256,3,0,3.8188109950472913,3.8554024261732898,3.7663239830483994,3.9810723004241786,0.09140900603995433,3.3173436919848127,0.13131503593994145,0.000244140625,0.0009765625,7.982293936947826e-09,2.8823819775425363e-08
decode_core,community_v2,128,1,32,3,0,3.8492479361593723,3.852663535831703,3.827647694076101,3.881094977259636,0.021953021975215887,3.695486579090357,0.03994581788941154,0.0001220703125,0.0009765625,3.4098093237844296e-09,1.547050487715751e-08
decode_core,community_v2,128,1,512,3,0,3.781057350958387,3.769428339890308,3.718717023730278,3.8085106449822583,0.03756903892127269,2.9271170496940613,0.22584695813933553,0.0001220703125,0.0009765625,3.4060576581396163e-09,2.6080215320689604e-08
decode_core,community_v2,128,1,64,3,0,3.7587673092881837,3.8003663066774607,3.7416736595332623,3.900657951210936,0.07125942598659127,3.3538473459581533,0.10772679711495951,0.0001220703125,0.0009765625,7.169091986725107e-09,6.164748356241034e-08
decode_core,community_v2,16,1,1,3,0,3.8226043495039144,3.8616881291899414,3.7884910125285387,3.9739690255373716,0.08060678095270328,3.741897332171599,0.021113097237695905,0.0,0.0,0.0,0.0
decode_core,community_v2,16,1,1024,3,0,3.6507563199847937,3.6489651021030216,3.631922649219632,3.6642163371046386,0.013244543918875624,3.4420746378600597,0.057161219165020344,0.000244140625,0.0009765625,1.4352672224049456e-06,8.19818251329707e-06
decode_core,community_v2,16,1,128,3,0,3.9554586013158164,3.9395940903988147,3.685939979429046,4.177383690451582,0.2009444240013926,3.8620312698185444,0.023619848142562398,0.0001220703125,0.00048828125,6.822119757998735e-09,2.270098775625229e-08
decode_core,community_v2,16,1,16,3,0,3.789420627678434,3.702003327715728,3.5242486434678235,3.7923407120009265,0.12569719581111524,3.708876669406891,0.02125495324621378,6.103515625e-05,0.00048828125,4.198227543383837e-09,1.9586877897381783e-08
decode_core,community_v2,16,1,256,3,0,3.7623272898296514,3.7590261134836407,3.6832299859573445,3.8315210646639266,0.0605845653058105,3.6536496287832656,0.02888575412887761,0.0001220703125,0.000244140625,6.793015927542001e-09,2.176966518163681e-08
decode_core,community_v2,16,1,32,3,0,3.768717326844732,3.770373994484544,3.735510321954886,3.806894334654013,0.02916593592999532,3.6897833924740553,0.02094450910616908,6.103515625e-05,0.00048828125,1.280568540096283e-09,9.778887033462524e-09
decode_core,community_v2,16,1,512,3,0,3.6813863553106785,3.684779991292291,3.6600299645215273,3.7129236540446677,0.02172668362059837,3.553728728244702,0.034676508995536606,3.0517578125e-05,0.00048828125,1.5479599824175239e-09,1.5617843018844724e-08
decode_core,community_v2,16,1,64,3,0,3.7751473331203065,3.8526923550913734,3.705083392560482,4.077846339593331,0.1617569709873913,3.67964959392945,0.025296427070019546,6.103515625e-05,0.0001220703125,7.159542292356491e-09,7.516064215451479e-09
decode_core,community_v2,2,1,1,3,0,3.803097642958164,3.7754206504258847,3.699773301680883,3.8233910066386065,0.05412852717669676,3.7222735894223056,0.021252163663352964,0.0,0.0,0.0,0.0
decode_core,community_v2,2,1,1024,3,0,3.9021483777711787,3.8642846823980412,3.662936311836044,4.027769357586901,0.15132973355875137,3.838321038832267,0.01635697384100205,0.0001220703125,0.00048828125,1.2609452824108303e-06,7.072398148011416e-06
decode_core,community_v2,2,1,128,3,0,3.8814713868002095,3.928531789117389,3.825124353170395,4.078999627381563,0.1088551784517395,3.830930683761835,0.013021016517151015,1.52587890625e-05,0.00048828125,1.862645149230957e-09,8.940696716308594e-08
decode_core,community_v2,2,1,16,3,0,3.849237614000837,3.8708857674565578,3.8265776820480824,3.9368420063207545,0.04754672938530463,3.768953572337826,0.020857128011789572,0.0,0.000244140625,0.0,2.9802322387695312e-08
decode_core,community_v2,2,1,256,3,0,3.8612513647725186,3.7809262414359384,3.608232674499353,3.873294685035944,0.12221173276109126,3.8101643634339175,0.013230685213784534,4.76837158203125e-07,1.52587890625e-05,5.820766091346741e-11,2.903107088059187e-09
decode_core,community_v2,2,1,32,3,0,3.862077991167704,3.9067139021224446,3.8414310353497663,4.016632679849863,0.0781800378142409,3.7807806705435114,0.021050149896018076,6.103515625e-05,0.0001220703125,2.2351741790771484e-08,3.5390257835388184e-08
decode_core,community_v2,2,1,512,3,0,3.728780041759213,3.766515990719199,3.710749947155515,3.8600179832428694,0.0665243716356491,3.6746597227950892,0.014514216005777087,9.5367431640625e-07,3.0517578125e-05,2.9831426218152046e-10,4.190951585769653e-09
decode_core,community_v2,2,1,64,3,0,3.814137618367871,3.793229555918111,3.7283300577352443,3.837220991651217,0.04684847332144692,3.7602835800498724,0.014119584479241533,6.103515625e-05,0.0001220703125,1.1175870895385742e-08,1.4901161193847656e-08
decode_core,community_v2,32,1,1,3,0,3.8276975974440575,3.7177800873501434,3.438614308834076,3.8870283557722964,0.198880506237309,3.7449235872675977,0.021625012966471607,0.0,0.0,0.0,0.0
decode_core,community_v2,32,1,1024,3,0,3.8824346071730056,3.9020070754405527,3.8643913188328347,3.9591953003158173,0.041103607804502416,3.446750963727633,0.11221918397296989,0.000244140625,0.0009765625,1.5700634321547113e-06,8.12431244412437e-06
decode_core,community_v2,32,1,128,3,0,3.9133382961153984,3.8878338721891246,3.7595673153797784,3.9905960050721965,0.09602576249842963,3.7735069636255503,0.03573198172737906,0.0001220703125,0.0009765625,2.9976945370435715e-09,7.127891876734793e-08
decode_core,community_v2,32,1,16,3,0,3.8032143687208495,3.8252478051516747,3.774830683444937,3.897698363289237,0.05252441291624144,3.7206870038062334,0.021699372402816386,0.0001220703125,0.0009765625,4.547473508864641e-09,2.60770320892334e-08
decode_core,community_v2,32,1,256,3,0,3.9105016427735486,3.9122105420877533,3.872534648204843,3.9535953352848687,0.03311494124128893,3.7451203291614847,0.04229158525420436,6.103515625e-05,0.00048828125,3.0595401767641306e-09,3.1544459488941357e-08
decode_core,community_v2,32,1,32,3,0,3.86659133558472,3.892598208039999,3.856121329590678,3.9550819589445987,0.044388959601158066,3.7831906229257584,0.02156957004776132,6.103515625e-05,0.001953125,8.511960913892835e-09,3.742752596735954e-08
decode_core,community_v2,32,1,512,3,0,3.913024983679255,3.9101594334675207,3.831710976858934,3.985742339864373,0.0629156775949118,3.699356612438957,0.054604397398811,6.103515625e-05,0.000244140625,2.824890543706715e-09,1.801709004212171e-08
decode_core,community_v2,32,1,64,3,0,3.8360776379704475,3.888067090883851,3.7990910156319537,4.029032619049151,0.10081488863653092,3.693236348529657,0.03723628740641542,0.0001220703125,0.0009765625,3.9362930692732334e-09,1.7867932911030948e-08
decode_core,community_v2,4,1,1,3,0,3.781723945091168,3.7739560939371586,3.7553236664583287,3.784820670261979,0.013235632260713873,3.6998599146803217,0.021647278225347177,0.0,0.0,0.0,0.0
decode_core,community_v2,4,1,1024,3,0,3.7309369848420224,3.6957111313111253,3.589329387371739,3.7668670217196145,0.07664006119602271,3.651536302641034,0.021281700152957734,0.0001220703125,0.0009765625,1.4387369446922094e-06,8.726827218197286e-06
decode_core,community_v2,4,1,128,3,0,3.924375011896094,3.8656413089483976,3.706099931150675,3.9664489837984243,0.11411293587233749,3.8627642982949815,0.01569949696814134,9.5367431640625e-07,0.000244140625,8.731149137020111e-11,4.470348358154297e-08
decode_core,community_v2,4,1,16,3,0,3.852764687811335,3.835884595496787,3.7965410544226565,3.858348044256369,0.0279133078833605,3.770017297938466,0.021477405597764575,7.62939453125e-06,0.00048828125,4.656612873077393e-10,2.9802322387695312e-08
decode_core,community_v2,4,1,256,3,0,3.6441330642749867,3.7193803323639765,3.5883826203644276,3.925625312452515,0.14760255611573347,3.5786523949354887,0.017968792078816555,3.814697265625e-06,0.000244140625,2.3283064365386963e-10,2.3166649043560028e-08
decode_core,community_v2,4,1,32,3,0,3.763297339901328,3.7357604338063135,3.6391663209845624,3.80481764053305,0.07037424157082396,3.6814066115766764,0.021760366223626343,3.0517578125e-05,0.0001220703125,2.7939677238464355e-09,7.450580596923828e-09
decode_core,community_v2,4,1,512,3,0,3.656106380124887,3.617542666486568,3.4602079540491104,3.7363136652857065,0.11597114857167522,3.5893823951482773,0.0182500119086607,7.62939453125e-06,1.52587890625e-05,5.384208634495735e-10,9.89530235528946e-10
decode_core,community_v2,4,1,64,3,0,3.8857550049821534,3.8703658824993505,3.791184009363254,3.9341586331526437,0.05937482395775957,3.8223313943793373,0.01632208168592637,9.5367431640625e-07,6.103515625e-05,1.2732925824820995e-10,5.587935447692871e-09
decode_core,community_v2,64,1,1,3,0,3.7994876814385257,3.780529575629367,3.724797007938226,3.8173040375113487,0.04007447202408774,3.686383366584778,0.029768306765749326,0.0,0.0,0.0,0.0
decode_core,community_v2,64,1,1024,3,0,3.679676679894328,3.7347292268855705,3.665143313507239,3.859367687255144,0.08833219132761924,2.851286359752218,0.22512584452553036,0.000244140625,0.0009765625,1.515524672868196e-06,7.948645361466333e-06
decode_core,community_v2,64,1,128,3,0,3.883077995851636,3.8357911010583243,3.7352570022145906,3.889038305108746,0.0711299753706846,3.659945990269383,0.057462663850849555,0.0001220703125,0.0009765625,5.356241672416218e-09,3.151308192173019e-08
decode_core,community_v2,64,1,16,3,0,3.965195268392563,3.900242762433158,3.659500041976571,4.07603297693034,0.1761420686039256,3.8525176544984183,0.028416662047471546,0.0001220703125,0.00048828125,5.920810508541763e-09,3.8682628655806184e-08
decode_core,community_v2,64,1,256,3,0,3.6504659801721573,3.674379756881131,3.6385496302197375,3.7341236602514982,0.04252450541740973,3.378173646827539,0.07459111653788843,0.0001220703125,0.00048828125,5.283482096274383e-09,2.1478626877069473e-08
decode_core,community_v2,64,1,32,3,0,3.7964743096381426,3.8273399954454765,3.7472903107603392,3.9382553659379482,0.08095855316153902,3.682483686134219,0.03002539045622788,0.000244140625,0.00048828125,8.465576684102416e-09,1.4149009075481445e-08
decode_core,community_v2,64,1,512,3,0,3.8694179772088924,3.858514569906725,3.7850340207417807,3.921091711769501,0.05607784494222522,3.4243642973403134,0.11501824886584293,6.103515625e-05,0.001953125,5.065203367848881e-09,3.5303173717693426e-08
decode_core,community_v2,64,1,64,3,0,3.858864695454637,3.833757791047295,3.701266677429279,3.941142000257969,0.09952490513176968,3.6337696947157383,0.05833192363651378,0.0001220703125,0.0009765625,4.874891601502895e-09,3.0921000870876014e-08
decode_core,community_v2,8,1,1,3,0,3.779183995599548,3.8192954380065203,3.7537236542751393,3.9249786641448736,0.07544872634377423,3.6977100341270366,0.021558612009200645,0.0,0.0,0.0,0.0
decode_core,community_v2,8,1,1024,3,0,3.726883325725794,3.680628672656086,3.5875090397894382,3.7274936524530253,0.06584599528998411,3.612759057432413,0.030621905307742777,0.0001220703125,0.0009765625,1.5605874068569392e-06,7.95406049292069e-06
decode_core,community_v2,8,1,128,3,0,3.6694700053582587,3.7530226529472404,3.649849289407333,3.9397486640761294,0.13227797888710535,3.5948793714245157,0.020327358944159126,0.0001220703125,0.0009765625,3.8664438761770725e-08,5.828042048960924e-08
