mode,batch,serial_ms,mb2_orig_ms,mb2_v2_ms,mb4_v2_ms,mb2_orig_speedup,mb2_v2_speedup,mb4_v2_speedup,mb2_v2_vs_orig_pct
decode,8,351.48431174457073,325.719499372338,300.4464815909925,450.7632082034099,1.0791012279641887,1.1698732828665894,0.7797537717096935,7.76
decode,16,502.89864436184104,382.40043858164233,359.99323388463574,495.40085874890025,1.315110009358612,1.3969669344479987,1.0151347852562789,5.86
decode,32,567.0475996050395,456.2539491606386,433.31798871881085,602.3411269446736,1.2428332963434636,1.3086177227066578,0.9414060807724393,5.03
decode,64,787.8769660662664,656.741042082247,642.7776066488341,848.3433743056498,1.1996767608253065,1.225738043635213,0.9287241345064151,2.13
decode,128,993.8010080276351,900.3498857154658,894.7479879777683,1164.8690302513148,1.1037942291045089,1.1107049374581304,0.8531439863357234,0.62
decode,256,1497.9598122207742,1452.5026447678867,1420.027363163076,1682.4529179813046,1.0312957553754758,1.0548809488319335,0.8903427823811587,2.24
decode,512,2452.359351966726,2394.4253114689336,2374.883269695075,2594.7826113551855,1.0241953842620595,1.0326231117378661,0.9451116795814831,0.82
prefill,8,1925.619026646018,378.0407328158617,402.72501297295094,683.9850135147572,5.093681340375456,4.781473622487294,2.815294178378182,-6.53
prefill,16,1827.0065654069185,449.72499646246433,460.5240747332573,792.6080767065287,4.062497258943015,3.9672335620350556,2.3050567097405272,-2.40
prefill,32,1811.7517735809088,654.6815596520901,662.3084843158722,902.4398699402809,2.7673786543548093,2.7355104403537083,2.0076149491276376,-1.16
