mode,batch,seq,tokens,preset,ffn_ep_backend,visible_chip_pool,active_world_size,status,report
prefill-dbo,8,512,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu_ep7_mb4_v2/prefill-dbo/report_prefill-dbo_npu_ep7_broadcast_reduce_overlap_mb4_b8_s512_t20.md
prefill-dbo,16,512,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu_ep7_mb4_v2/prefill-dbo/report_prefill-dbo_npu_ep7_broadcast_reduce_overlap_mb4_b16_s512_t20.md
prefill-dbo,32,512,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu_ep7_mb4_v2/prefill-dbo/report_prefill-dbo_npu_ep7_broadcast_reduce_overlap_mb4_b32_s512_t20.md
