mode,batch,seq,tokens,preset,ffn_ep_backend,routing_backend,routing_update_mode,visible_chip_pool,active_world_size,status,tpot_ms,prefill_ms,total_time_ms,routing_table_version,routing_poll_count,routing_poll_ms,report,warmup_p2p,warmup_rounds,prefill_warmup_rounds,warmup_tag
serial,64,1024,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,557.351896,9172.928140,19994.242106,,0,0.000000,results_npu_ep7_host2/serial/report_serial_npu_ep7_broadcast_reduce_overlap_b64_s1024_t20_comm-completion.md,false,5,auto,
decode-dbo,2,128,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,222.719103,2624.364669,268.005412,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s128_t20_comm-completion.md,false,5,auto,
decode-dbo,4,128,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,247.629563,2671.832598,298.182806,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s128_t20_comm-completion.md,false,5,auto,
decode-dbo,8,128,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,296.613083,2594.152285,318.047606,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s128_t20_comm-completion.md,false,5,auto,
decode-dbo,16,128,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,331.630851,2689.157693,330.407082,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s128_t20_comm-completion.md,false,5,auto,
decode-dbo,32,128,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,430.891233,3475.240037,361.250065,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s128_t20_comm-completion.md,false,5,auto,
decode-dbo,64,128,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,635.882401,4053.065644,393.614943,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s128_t20_comm-completion.md,false,5,auto,
decode-dbo,2,256,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,215.560281,2557.668365,257.223060,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s256_t20_comm-completion.md,false,5,auto,
decode-dbo,4,256,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,242.896581,2595.093383,269.834628,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s256_t20_comm-completion.md,false,5,auto,
decode-dbo,8,256,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,285.288786,2786.957795,306.728742,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s256_t20_comm-completion.md,false,5,auto,
