mode,ep_size,backend,attn_kernel,attn_fused_rmsnorm,attn_fused_rope,num_micro_batches,batch,seq,tokens,decode_tpot_ms,serial_tpot_ms,speedup_vs_ep_serial,prefill_ms,attention_avg_layer_ms_excl_l0,ffn_avg_layer_ms_excl_l0,a2f_send_avg_layer_ms_excl_l0,f2a_send_avg_layer_ms_excl_l0,attention_recv_wait_avg_layer_ms_excl_l0,moe_router_avg_layer_ms_excl_l0,ep_dispatch_avg_layer_ms_excl_l0,ep_local_experts_avg_layer_ms_excl_l0,ep_reduce_avg_layer_ms_excl_l0,attention_sum_ms_excl_l0,ffn_sum_ms_excl_l0,overlap_efficiency_proxy,attn_timing,ffn_timing
decode-dbo,16,all_to_all_single,npu-official,True,True,2,256,1024,20,1325.6596761118424,,,77637.0675561484,1.5990129112206557,1.464684397239793,0.09044007883664776,0.08118401053658825,2.934013215943854,0.13507592511620928,4.014907110026701,1.3296084721235837,1.1896813223931066,75.15360682737082,68.84016667027026,0.26660388238384863,/home/zhangyz/afd_demo/crosshost_static_ep16_all2all_opt/decode-dbo_ep16_all_to_all_single_b256_s1024_t20/timing_attention_xhost_static_decode-dbo_ep16_all_to_all_single_b256_s1024_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_all2all_opt/decode-dbo_ep16_all_to_all_single_b256_s1024_t20/timing_ffn_coordinator_xhost_static_decode-dbo_ep16_all_to_all_single_b256_s1024_t20.json
decode-dbo,16,all_to_all_single,npu-official,True,True,2,32,256,20,611.7748275742327,,,8687.365079997107,0.9332134963033047,1.5947607870986487,0.08053484897902037,0.096022817702528,4.24601352387207,0.17643494264004714,4.753291587087702,1.4183258444586015,1.3035744839803654,43.86103432625532,74.95375699363649,0.2354242187129666,/home/zhangyz/afd_demo/crosshost_static_ep16_all2all_opt/decode-dbo_ep16_all_to_all_single_b32_s256_t20/timing_attention_xhost_static_decode-dbo_ep16_all_to_all_single_b32_s256_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_all2all_opt/decode-dbo_ep16_all_to_all_single_b32_s256_t20/timing_ffn_coordinator_xhost_static_decode-dbo_ep16_all_to_all_single_b32_s256_t20.json
