batch,device,dtype,experts_max_ms,experts_mean_ms,experts_median_ms,experts_min_ms,hidden_size,layer,norm_max_ms,norm_mean_ms,norm_median_ms,norm_min_ms,repeat,residual_add_max_ms,residual_add_mean_ms,residual_add_median_ms,residual_add_min_ms,router_max_ms,router_mean_ms,router_median_ms,router_min_ms,selected_experts,seq,shape_label,tokens,top_k,total_max_ms,total_mean_ms,total_median_ms,total_min_ms,warmup
32,npu:0,bfloat16,4.2862556874752045,4.182590792576472,4.278464242815971,3.98305244743824,2048,24,0.4076547920703888,0.2664569765329361,0.21304376423358917,0.17867237329483032,3,0.10020099580287933,0.07822737097740173,0.0715404748916626,0.06294064223766327,0.3290623426437378,0.22774500151475272,0.17795152962207794,0.17622113227844238,103,1,decode,32,8,5.115382373332977,4.7550201416015625,4.747061058878899,4.402616992592812,1
64,npu:0,bfloat16,4.577288404107094,4.525713001688321,4.522215574979782,4.477635025978088,2048,24,0.18259137868881226,0.17055124044418335,0.17457269132137299,0.1544896513223648,3,0.0753011554479599,0.06769038736820221,0.0660289078950882,0.06174109876155853,0.17691217362880707,0.17219595611095428,0.17320364713668823,0.16647204756736755,120,1,decode,64,8,5.008384585380554,4.936150585611661,4.925001412630081,4.8750657588243484,1
128,npu:0,bfloat16,4.7745369374752045,4.727385938167572,4.725126549601555,4.682494327425957,2048,24,0.181540846824646,0.17314528425534567,0.17916224896907806,0.15873275697231293,3,0.06463192403316498,0.0631355990966161,0.06256252527236938,0.062212347984313965,0.1691523939371109,0.16529237230618796,0.16372092068195343,0.1630038022994995,126,1,decode,128,8,5.187483504414558,5.128959193825722,5.109425634145737,5.08996844291687,1
16,npu:0,bfloat16,18.881455063819885,18.68411588172118,18.879307433962822,18.29158514738083,2048,24,0.30022114515304565,0.29255511860052746,0.289013609290123,0.2884306013584137,3,0.11996924877166748,0.11501337091128032,0.11409074068069458,0.11098012328147888,0.23268163204193115,0.23118158181508383,0.23255124688148499,0.22831186652183533,128,512,prefill,8192,8,19.526300951838493,19.32286595304807,19.51874978840351,18.923547118902206,1
32,npu:0,bfloat16,34.59126129746437,34.299714490771294,34.570129588246346,33.737752586603165,2048,24,0.5665253847837448,0.5561659733454386,0.554235652089119,0.5477368831634521,3,0.1873299479484558,0.18535430232683817,0.18471106886863708,0.18402189016342163,0.29351189732551575,0.2905186265707016,0.2916324883699417,0.28641149401664734,128,512,prefill,16384,8,35.63674911856651,35.331753393014274,35.58829985558987,34.77021120488644,1
