mode,ep_size,backend,attn_kernel,attn_fused_rmsnorm,attn_fused_rope,num_micro_batches,batch,seq,tokens,decode_tpot_ms,serial_tpot_ms,speedup_vs_ep_serial,prefill_ms,attention_avg_layer_ms_excl_l0,ffn_avg_layer_ms_excl_l0,a2f_send_avg_layer_ms_excl_l0,f2a_send_avg_layer_ms_excl_l0,attention_recv_wait_avg_layer_ms_excl_l0,moe_router_avg_layer_ms_excl_l0,ep_dispatch_avg_layer_ms_excl_l0,ep_local_experts_avg_layer_ms_excl_l0,ep_reduce_avg_layer_ms_excl_l0,attention_sum_ms_excl_l0,ffn_sum_ms_excl_l0,overlap_efficiency_proxy,attn_timing,ffn_timing
decode-dbo-crosslayer,16,broadcast_reduce_overlap,npu-official,True,True,2,256,128,20,1117.5114106337883,1015.9563490459205,0.9091239153162011,8623.674895847216,1.510366448201239,2.0263132693721575,0.07789839613944927,0.06900406739813217,2.5364859153496777,0.12913637824277294,2.4163957531663014,1.8971768911293847,1.2383332545373669,70.98722306545824,95.2367236604914,0.3336502562003851,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b256_s128_t20/timing_attention_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b256_s128_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b256_s128_t20/timing_ffn_coordinator_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b256_s128_t20.json
serial,16,broadcast_reduce_overlap,npu-official,True,True,2,256,128,20,1015.9563490459205,1015.9563490459205,1.0,8538.505254080519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b256_s128_t20/timing_attention_xhost_static_serial_ep16_broadcast_reduce_overlap_b256_s128_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b256_s128_t20/timing_ffn_coordinator_xhost_static_serial_ep16_broadcast_reduce_overlap_b256_s128_t20.json
decode-dbo,16,broadcast_reduce_overlap,npu-official,True,True,2,128,1024,20,700.6081547955737,630.2951186356183,0.8996399975097755,17958.201159955934,1.1878810808102185,1.3506472026532952,0.07651402723995294,0.06557825427660917,1.6287610633298755,0.12481621308054061,1.6401924039336278,1.2258309895727546,0.8494354031504469,55.830410798080266,63.480418524704874,0.32410689305569335,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b128_s1024_t20/timing_attention_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b128_s1024_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b128_s1024_t20/timing_ffn_coordinator_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b128_s1024_t20.json
decode-dbo-crosslayer,16,broadcast_reduce_overlap,npu-official,True,True,2,128,1024,20,702.1003104746342,630.2951186356183,0.8977280158294275,17979.870923096314,1.168873059523708,1.3300811406224966,0.07903082989790339,0.06422721235913799,1.5709024452743061,0.11799274200692456,1.692548644372282,1.212088398615572,0.8017082644150929,54.937033797614276,62.51381360925734,0.32681277413520987,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b128_s1024_t20/timing_attention_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b128_s1024_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b128_s1024_t20/timing_ffn_coordinator_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b128_s1024_t20.json
serial,16,broadcast_reduce_overlap,npu-official,True,True,2,128,1024,20,630.2951186356183,630.2951186356183,1.0,17956.41335612163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b128_s1024_t20/timing_attention_xhost_static_serial_ep16_broadcast_reduce_overlap_b128_s1024_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b128_s1024_t20/timing_ffn_coordinator_xhost_static_serial_ep16_broadcast_reduce_overlap_b128_s1024_t20.json
decode-dbo,16,broadcast_reduce_overlap,npu-official,True,True,2,128,512,20,725.7753214186156,623.4148777408624,0.8589640062744524,11832.239830167964,1.101845610351797,1.8099088920280337,0.08871144258437004,0.07955693798337846,2.186463281333922,0.13031014191739737,1.8346762591774792,1.6795987501106364,1.1239195827077677,51.786743686534464,85.06571792531759,0.35500815555776843,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b128_s512_t20/timing_attention_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b128_s512_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b128_s512_t20/timing_ffn_coordinator_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b128_s512_t20.json
decode-dbo-crosslayer,16,broadcast_reduce_overlap,npu-official,True,True,2,128,512,20,718.6782594745684,623.4148777408624,0.8674464122466236,11512.081297812983,1.0477226980506105,1.725418376736343,0.07840637315778022,0.06593168623983225,2.1052291775320437,0.12321239634555706,1.7753944935356365,1.6022059803907858,1.0684680396770225,49.242966808378696,81.09466370660812,0.35368745861717704,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b128_s512_t20/timing_attention_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b128_s512_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b128_s512_t20/timing_ffn_coordinator_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b128_s512_t20.json
serial,16,broadcast_reduce_overlap,npu-official,True,True,2,128,512,20,623.4148777408624,623.4148777408624,1.0,11727.457757107913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b128_s512_t20/timing_attention_xhost_static_serial_ep16_broadcast_reduce_overlap_b128_s512_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b128_s512_t20/timing_ffn_coordinator_xhost_static_serial_ep16_broadcast_reduce_overlap_b128_s512_t20.json
decode-dbo,16,broadcast_reduce_overlap,npu-official,True,True,2,128,256,20,691.4729333213089,613.6780100948129,0.8874938996486406,8691.351301968098,0.9537972658476297,1.71249445052223,0.07488476756484584,0.0639808106612652,2.062280124865789,0.13899217121937174,1.6758586948816763,1.5735022793028584,1.0511712245444984,44.828471494838595,80.48723917454481,0.36215891563460495,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b128_s256_t20/timing_attention_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b128_s256_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b128_s256_t20/timing_ffn_coordinator_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b128_s256_t20.json
decode-dbo-crosslayer,16,broadcast_reduce_overlap,npu-official,True,True,2,128,256,20,698.686237054828,613.6780100948129,0.8783313274949421,8618.636425817385,0.9551544505310186,1.7342798144338614,0.08267795350006286,0.07367948506106721,2.1645478740770447,0.13478490910393762,1.7845799893814516,1.5994949053299237,1.0701300640729197,44.89225917495787,81.51115127839148,0.357290110419766,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b128_s256_t20/timing_attention_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b128_s256_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b128_s256_t20/timing_ffn_coordinator_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b128_s256_t20.json
serial,16,broadcast_reduce_overlap,npu-official,True,True,2,128,256,20,613.6780100948129,613.6780100948129,1.0,8758.546421071514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b128_s256_t20/timing_attention_xhost_static_serial_ep16_broadcast_reduce_overlap_b128_s256_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b128_s256_t20/timing_ffn_coordinator_xhost_static_serial_ep16_broadcast_reduce_overlap_b128_s256_t20.json
decode-dbo,16,broadcast_reduce_overlap,npu-official,True,True,2,128,128,20,715.2116131037474,622.9426483746225,0.8709906787884603,7099.342374829575,0.929331231089507,1.7978378170308598,0.07838710270663525,0.07218411043682631,2.2631889119982085,0.13127443232038555,1.7352692406386772,1.6665633847104742,1.0947432453209098,43.67856786120683,84.49837740045041,0.36026229609150956,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b128_s128_t20/timing_attention_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b128_s128_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b128_s128_t20/timing_ffn_coordinator_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b128_s128_t20.json
decode-dbo-crosslayer,16,broadcast_reduce_overlap,npu-official,True,True,2,128,128,20,725.019457529446,622.9426483746225,0.8592081797326416,7033.545240061358,0.9775712511482391,1.7190761715570029,0.08651896558226423,0.06793094848460973,2.1202285709652178,0.12912205420434475,1.7451201020640896,1.5899541173526581,1.0784358687778102,45.94584880396724,80.79658006317914,0.35688611743709575,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b128_s128_t20/timing_attention_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b128_s128_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b128_s128_t20/timing_ffn_coordinator_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b128_s128_t20.json
serial,16,broadcast_reduce_overlap,npu-official,True,True,2,128,128,20,622.9426483746225,622.9426483746225,1.0,7047.528208931908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b128_s128_t20/timing_attention_xhost_static_serial_ep16_broadcast_reduce_overlap_b128_s128_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b128_s128_t20/timing_ffn_coordinator_xhost_static_serial_ep16_broadcast_reduce_overlap_b128_s128_t20.json
decode-dbo,16,broadcast_reduce_overlap,npu-official,True,True,2,64,1024,20,515.335305103738,436.58509348077996,0.8471864612359413,11900.777514092624,1.137718152096297,1.5418071453360485,0.09624588432067886,0.07542554150394937,1.8973021862156532,0.13757973631962817,1.7413588320004179,1.4042274090164202,0.9881556157934221,53.47275314852595,72.46493583079427,0.3368724626052844,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b64_s1024_t20/timing_attention_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b64_s1024_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b64_s1024_t20/timing_ffn_coordinator_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b64_s1024_t20.json
decode-dbo-crosslayer,16,broadcast_reduce_overlap,npu-official,True,True,2,64,1024,20,518.7824733163181,436.58509348077996,0.8415571379848451,11893.313495907933,0.991059194735073,1.262445822655362,0.07199214652497718,0.06617828609144434,1.6266329417084442,0.12822971094716737,1.504303627409675,1.1342161117081946,0.8404096365569437,46.57978215254843,59.334953664802015,0.32536106601440323,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b64_s1024_t20/timing_attention_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b64_s1024_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b64_s1024_t20/timing_ffn_coordinator_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b64_s1024_t20.json
serial,16,broadcast_reduce_overlap,npu-official,True,True,2,64,1024,20,436.58509348077996,436.58509348077996,1.0,11960.3247938212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b64_s1024_t20/timing_attention_xhost_static_serial_ep16_broadcast_reduce_overlap_b64_s1024_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b64_s1024_t20/timing_ffn_coordinator_xhost_static_serial_ep16_broadcast_reduce_overlap_b64_s1024_t20.json
decode-dbo,16,broadcast_reduce_overlap,npu-official,True,True,2,64,512,20,501.09761073499135,424.39294351558937,0.8469266953660097,8494.66528207995,1.0294373310666451,1.5397862570875502,0.08420440853830982,0.06494039243602372,1.871634205367337,0.12267093382220953,1.686721116284582,1.4171153232653408,0.938174042335533,48.383554560132325,72.36995408311486,0.3467317191137803,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b64_s512_t20/timing_attention_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b64_s512_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b64_s512_t20/timing_ffn_coordinator_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b64_s512_t20.json
decode-dbo-crosslayer,16,broadcast_reduce_overlap,npu-official,True,True,2,64,512,20,513.5077069464483,424.39294351558937,0.8264587615232183,8700.544312829152,1.0838944197414404,1.5521039467978668,0.09052290462274501,0.07048511798394487,1.9306855826103624,0.13157154651398353,1.7639862923347887,1.4205324002838833,1.0036433318709121,50.943037727847695,72.94888549949974,0.3398754904172585,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b64_s512_t20/timing_attention_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b64_s512_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b64_s512_t20/timing_ffn_coordinator_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b64_s512_t20.json
serial,16,broadcast_reduce_overlap,npu-official,True,True,2,64,512,20,424.39294351558937,424.39294351558937,1.0,8782.256577862427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b64_s512_t20/timing_attention_xhost_static_serial_ep16_broadcast_reduce_overlap_b64_s512_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b64_s512_t20/timing_ffn_coordinator_xhost_static_serial_ep16_broadcast_reduce_overlap_b64_s512_t20.json
decode-dbo,16,broadcast_reduce_overlap,npu-official,True,True,2,64,256,20,507.99414789990374,422.35823194986506,0.8314234203207542,7493.069761898369,0.9421433119024051,1.5280207673563284,0.08036482068610952,0.07029788003877756,1.9531833587531398,0.12579248187706826,1.5775792949654637,1.4022282854792603,0.9785732749770296,44.28073565941304,71.81697606574744,0.3454444374469295,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b64_s256_t20/timing_attention_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b64_s256_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b64_s256_t20/timing_ffn_coordinator_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b64_s256_t20.json
decode-dbo-crosslayer,16,broadcast_reduce_overlap,npu-official,True,True,2,64,256,20,512.5842169539904,422.35823194986506,0.8239782224659795,7445.413897978142,0.9693256158262809,1.5485052296772917,0.08719671329364498,0.07715735316989904,2.0309435798132673,0.13274140160610068,1.759236017142997,1.415763828071191,1.0004780562396378,45.5583039438352,72.7797457948327,0.34042251492157305,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b64_s256_t20/timing_attention_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b64_s256_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b64_s256_t20/timing_ffn_coordinator_xhost_static_decode-dbo-crosslayer_ep16_broadcast_reduce_overlap_b64_s256_t20.json
serial,16,broadcast_reduce_overlap,npu-official,True,True,2,64,256,20,422.35823194986506,422.35823194986506,1.0,7266.382271889597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b64_s256_t20/timing_attention_xhost_static_serial_ep16_broadcast_reduce_overlap_b64_s256_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/serial_ep16_broadcast_reduce_overlap_b64_s256_t20/timing_ffn_coordinator_xhost_static_serial_ep16_broadcast_reduce_overlap_b64_s256_t20.json
decode-dbo,16,broadcast_reduce_overlap,npu-official,True,True,2,64,128,20,509.57603578602794,434.6583464280947,0.8529803521031524,6555.244676070288,0.9217135895519181,1.55308417866918,0.08262659452776326,0.06549101213904772,1.972666295106582,0.12540711496183846,1.5280037954885592,1.4276770637073415,1.0241664886633133,43.32053870894015,72.99495639745146,0.34920668420356654,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b64_s128_t20/timing_attention_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b64_s128_t20.json,/home/zhangyz/afd_demo/crosshost_static_ep16_sweep/decode-dbo_ep16_broadcast_reduce_overlap_b64_s128_t20/timing_ffn_coordinator_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b64_s128_t20.json
