mode,batch,seq,tokens,preset,ffn_ep_backend,visible_chip_pool,active_world_size,status,report
decode-dbo,8,512,20,npu-ep7,broadcast_reduce_overlap,8,8,ok,results_npu_ep7_mb4/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_mb4_b8_s512_t20.md
decode-dbo,16,512,20,npu-ep7,broadcast_reduce_overlap,8,8,ok,results_npu_ep7_mb4/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_mb4_b16_s512_t20.md
decode-dbo,32,512,20,npu-ep7,broadcast_reduce_overlap,8,8,ok,results_npu_ep7_mb4/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_mb4_b32_s512_t20.md
decode-dbo,64,512,20,npu-ep7,broadcast_reduce_overlap,8,8,ok,results_npu_ep7_mb4/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_mb4_b64_s512_t20.md
decode-dbo,128,512,20,npu-ep7,broadcast_reduce_overlap,8,8,ok,results_npu_ep7_mb4/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_mb4_b128_s512_t20.md
decode-dbo,256,512,20,npu-ep7,broadcast_reduce_overlap,8,8,ok,results_npu_ep7_mb4/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_mb4_b256_s512_t20.md
prefill-dbo,8,512,20,npu-ep7,broadcast_reduce_overlap,8,8,ok,results_npu_ep7_mb4/prefill-dbo/report_prefill-dbo_npu_ep7_broadcast_reduce_overlap_mb4_b8_s512_t20.md
prefill-dbo,16,512,20,npu-ep7,broadcast_reduce_overlap,8,8,ok,results_npu_ep7_mb4/prefill-dbo/report_prefill-dbo_npu_ep7_broadcast_reduce_overlap_mb4_b16_s512_t20.md
