metric,batch,serial_ms,mb2_ms,mb4_ms,mb2_speedup,mb4_speedup,mb2_throughput,mb4_throughput
decode,8,351.48431174457073,325.719499372338,481.498980404515,1.0791012279641887,0.7299793479298401,24.561010364488503,16.61478076917021
decode,16,502.89864436184104,382.40043858164233,501.7506447865775,1.315110009358612,1.0022879882411548,41.84095619593283,31.888349653851847
decode,32,567.0475996050395,456.2539491606386,680.0104349263405,1.2428332963434636,0.83388073253091,70.13637922229444,47.058101400262004
decode,64,787.8769660662664,656.741042082247,861.7783829961952,1.1996767608253065,0.9142454505844165,97.45089144586301,74.26503293977677
decode,128,993.8010080276351,900.3498857154658,1178.3832584164645,1.1037942291045089,0.8433597481375671,142.16695312654414,108.62340336709214
decode,256,1497.9598122207742,1452.5026447678867,1658.401628367995,1.0312957553754758,0.9032551503792788,176.24752761872554,154.36550207197112
prefill,8,1925.619026646018,378.0407328158617,685.4980308562517,5.093681340375456,2.8090803182041797,,
prefill,16,1827.0065654069185,449.72499646246433,752.3498777300119,4.062497258943015,2.4284001625937095,,
