ep,node,batch,seq,tokens,prefill_ms,decode_tpot_ms,timed_step_total_ms,compute_ms_total,recv_wait_ms_total,ep_local_experts_ms_total,ep_reduce_wait_ms_total,ep_overlap_hidden_ms_total,compute_ms_per_layer_mb,recv_wait_ms_per_layer_mb,ep_local_experts_ms_per_layer_mb,ep_reduce_wait_ms_per_layer_mb,ep_overlap_hidden_ms_per_layer_mb,compute_ratio
4,attention,2,8,3,2438.067276030779,651.8045915290713,655.7864435017109,96.21505253016949,523.1157448142767,0.0,0.0,0.0,1.0022401305225987,5.449122341815382,0.0,0.0,0.0,0.14671705016713793
4,ffn_coordinator,2,8,3,2437.6877527683973,651.8112774938345,655.5497031658888,423.4998747706413,41.25137999653816,408.30673836171627,56.59101530909538,265.2599960565567,4.4114570288608475,0.4297018749639392,4.253195191267878,0.5894897428030769,2.763124958922466,0.6460225254094477
4,ffn_expert_r2,2,8,3,2437.421139329672,651.785277761519,655.2431788295507,593.1741651147604,0.0,593.1741651147604,29.151540249586105,268.7909323722124,6.1788975532787545,0.0,6.1788975532787545,0.30366187759985525,2.7999055455438793,0.9052733157395654
4,ffn_expert_r3,2,8,3,2437.3515993356705,651.8037719652057,655.2424803376198,565.570367500186,0.0,565.570367500186,55.20126782357693,279.824648052454,5.891357994793604,0.0,5.891357994793604,0.575013206495593,2.9148400838797293,0.8631466738981431
4,ffn_expert_r4,2,8,3,2437.368957325816,651.7962878569961,655.2317775785923,526.3727195560932,0.0,526.3727195560932,95.86668573319912,300.46930350363255,5.483049162042637,0.0,5.483049162042637,0.9986113097208241,3.129888578162839,0.803338204232558
4,attention,4,128,20,2515.368141233921,753.9250263454098,723.4485913068056,107.32977651059628,575.7310409098864,0.0,0.0,0.0,1.1180185053187113,5.997198342811316,0.0,0.0,0.0,0.14835853963959
4,ffn_coordinator,4,128,20,2513.812890276313,753.9253095655065,723.1446485966444,547.8304978460073,56.98792077600956,536.4369731396437,0.9814836084842682,282.1282483637333,5.70656768589591,0.5936241747500995,5.5878851368712885,0.010223787588377794,2.938835920455555,0.7575669665939494
4,ffn_expert_r2,4,128,20,2513.764940202236,753.9237843532311,722.6517535746098,686.7315787822008,0.0,686.7315787822008,0.9056180715560913,319.8378812521696,7.153453945647925,0.0,7.153453945647925,0.009433521578709284,3.331644596376767,0.9502939353364478
4,ffn_expert_r3,4,128,20,2513.6984791606665,753.9252106492456,719.0190255641937,686.4202041178942,0.0,686.4202041178942,0.8884593844413757,239.60532620549202,7.150210459561397,0.0,7.150210459561397,0.009254785254597664,2.495888814640542,0.9546620878067584
4,ffn_expert_r4,4,128,20,2513.7636195868254,753.9238432716382,722.1724800765514,683.9668937027454,0.0,683.9668937027454,0.9422879666090012,322.3505821079016,7.124655142736931,0.0,7.124655142736931,0.009815499652177095,3.3578185636239746,0.9470963136538294
4,attention,8,512,20,3255.3252521902323,464.0093051681393,397.087674587965,98.03624264895916,263.358062133193,0.0,0.0,0.0,1.021210860926658,2.7433131472207606,0.0,0.0,0.0,0.24688815322884478
4,ffn_coordinator,8,512,20,3246.791947633028,464.01010257633106,396.26014046370983,219.24683824181557,53.83666977286339,207.19282887876034,1.0336115956306458,124.36900660395622,2.283821231685579,0.560798643467327,2.1582586341537535,0.010766787454485893,1.2955104854578774,0.5532901643482221
