batch,seq,tokens,crosshost_status,crosshost_tpot_ms,crosshost_throughput_tok_s,singlehost_coord_tpot_ms,crosshost_vs_singlehost_tpot_ratio,crosshost_vs_singlehost_slowdown_pct,static_tpot_ms,crosshost_vs_static_tpot_ratio,crosshost_vs_static_slowdown_pct,crosshost_attention_log,crosshost_ffn_rank1_log,crosshost_ffn_rank7_log,singlehost_coord_report,static_attention_timing,singlehost_coord_attention_timing
16,256,20,OK,369.615000,43.288286,333.356383,1.108768,10.876833,350.779972,1.053695,5.369471,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s256_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s256_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s256_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s256_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s256_t20.json
16,512,20,OK,349.961000,45.719380,363.380599,0.963070,-3.692987,382.400439,0.915169,-8.483107,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s512_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s512_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s512_t20.json
32,128,20,OK,457.763000,69.905169,446.496012,1.025234,2.523424,442.990334,1.033348,3.334760,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s128_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s128_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s128_t20.json
32,256,20,OK,447.339000,71.534116,421.636005,1.060960,6.096015,449.914766,0.994275,-0.572501,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s256_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s256_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s256_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s256_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s256_t20.json
32,512,20,OK,460.368000,69.509610,440.600313,1.044865,4.486535,456.253949,1.009017,0.901702,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s512_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s512_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s512_t20.json
64,128,20,OK,629.825000,101.615528,619.246905,1.017082,1.708219,605.714570,1.039805,3.980494,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s128_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s128_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s128_t20.json
64,256,20,OK,611.960000,104.581999,575.310907,1.063703,6.370311,626.346062,0.977032,-2.296823,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s256_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s256_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s256_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s256_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s256_t20.json
64,512,20,OK,627.110000,102.055461,616.010708,1.018018,1.801802,656.741042,0.954882,-4.511830,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s512_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s512_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s512_t20.json
128,128,20,OK,886.328000,144.416063,906.979717,0.977230,-2.276977,884.871427,1.001646,0.164608,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s128_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s128_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s128_t20.json
128,256,20,OK,846.869000,151.144982,825.638178,1.025714,2.571444,851.722009,0.994302,-0.569788,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s256_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s256_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s256_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s256_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s256_t20.json
128,512,20,OK,913.161000,140.172434,901.613824,1.012807,1.280723,900.349886,1.014229,1.422904,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s512_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s512_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s512_t20.json
256,128,20,OK,1309.064000,195.559575,1358.722524,0.963452,-3.654795,1334.052752,0.981269,-1.873146,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s128_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s128_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s128_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s128_t20.json
256,256,20,OK,1369.714000,186.900331,1351.852475,1.013213,1.321263,1330.536296,1.029445,2.944505,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s256_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s256_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s256_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s256_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s256_t20.json
256,512,20,OK,1432.878000,178.661407,1407.419185,1.018089,1.808901,1452.502645,0.986489,-1.351092,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s512_t20/h2_rank7.log,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s512_t20.md,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s512_t20.json
