file,batch,seq,tokens,routing_backend,routing_update_mode,routing_table_version,routing_poll_count,decode_tpot_ms,compute_ratio,total_ep_dispatch_ms,total_ep_dispatch_bytes,total_ep_dispatch_gib,dispatch_effective_gib_s,total_ep_reduce_ms,total_ep_reduce_bytes,total_ep_reduce_gib,reduce_effective_gib_s,total_ep_overlap_hidden_ms
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b16_s256_t20.json,16,256,20,coordinator,oneshot,1,0,369.614276,0.899077,263.797504,3207168,0.002987,0.011323,118.045831,3145728,0.002930,0.024818,108.129641
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b16_s512_t20.json,16,512,20,coordinator,oneshot,1,0,349.955011,0.902129,243.586617,3207168,0.002987,0.012262,100.939367,3145728,0.002930,0.029024,92.760204
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b256_s128_t20.json,256,128,20,coordinator,oneshot,1,0,1309.054290,0.928377,377.946376,51314688,0.047791,0.126448,162.324443,50331648,0.046875,0.288774,152.326688
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b256_s256_t20.json,256,256,20,coordinator,oneshot,1,0,1369.710078,0.937052,435.423444,51314688,0.047791,0.109756,159.699059,50331648,0.046875,0.293521,149.893653
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b256_s512_t20.json,256,512,20,coordinator,oneshot,1,0,1432.864505,0.939955,458.090170,51314688,0.047791,0.104326,167.362651,50331648,0.046875,0.280080,157.865953
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b2_s128_t20.json,2,128,20,coordinator,oneshot,1,0,227.013040,0.866388,205.768016,400896,0.000373,0.001814,79.876651,393216,0.000366,0.004585,70.171114
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b2_s256_t20.json,2,256,20,coordinator,oneshot,1,0,224.193435,0.880162,207.642500,400896,0.000373,0.001798,81.950328,393216,0.000366,0.004469,73.445616
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b2_s512_t20.json,2,512,20,coordinator,oneshot,1,0,230.249189,0.878077,215.261864,400896,0.000373,0.001734,82.346431,393216,0.000366,0.004447,73.501910
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b32_s128_t20.json,32,128,20,coordinator,oneshot,1,0,457.752752,0.903594,232.493840,6414336,0.005974,0.025695,118.468775,6291456,0.005859,0.049459,110.283033
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b32_s256_t20.json,32,256,20,coordinator,oneshot,1,0,447.337437,0.902708,274.636842,6414336,0.005974,0.021752,111.731500,6291456,0.005859,0.052442,102.184814
