size_mib_requested,tensor_mib,tensor_bytes,sender_enqueue_mean_ms,sender_completion_mean_ms,receiver_wait_mean_ms,blocking_send_mean_ms,blocking_recv_mean_ms,completion_bandwidth_mib_s
0.004,0.0039997100830078125,4194,0.05803879350423813,0.06132829934358597,0.06065208464860916,0.0636523962020874,0.057048797607421875,65.21801722561744
0.031,0.031000137329101562,32506,0.05495842546224594,0.058108046650886536,0.06004665046930313,0.06135672330856323,0.05916468799114227,533.4912996706042
1.0,1.0,1048576,0.09214162826538086,0.0973186269402504,0.058483146131038666,0.05357082933187485,0.0430433452129364,10275.525163481381
16.0,16.0,16777216,0.04749353975057602,0.05085345357656479,0.044634491205215454,0.05275063216686249,0.043953582644462585,314629.5654416165
32.0,32.0,33554432,0.043895281851291656,0.04705272614955902,0.04513464868068695,0.05155190825462341,0.04429422318935394,680088.1185563337
