batch,seq,tokens,static_status,coord_status,static_tpot_ms,coord_tpot_ms,coord_vs_static_tpot_ratio,coord_vs_static_tpot_delta_pct,static_throughput_tok_s,coord_throughput_tok_s,coord_vs_static_throughput_ratio,coord_vs_static_throughput_delta_pct,static_prefill_ms,coord_prefill_ms,static_decode_loop_ms,coord_decode_loop_ms,static_tbt_mean_ms,coord_tbt_mean_ms,static_tbt_p50_ms,coord_tbt_p50_ms,static_tbt_p99_ms,coord_tbt_p99_ms,coord_routing_backend,coord_routing_update_mode,coord_routing_table_version,coord_routing_poll_count,static_total_ep_dispatch_ms,coord_total_ep_dispatch_ms,static_total_ep_local_experts_ms,coord_total_ep_local_experts_ms,static_total_ep_reduce_ms,coord_total_ep_reduce_ms,static_total_ep_overlap_hidden_ms,coord_total_ep_overlap_hidden_ms,static_attn_timing,static_ffn_timing,coord_attn_timing,coord_ffn_timing
8,256,20,ok,ok,300.805435,294.893250,0.980345,-1.965452,26.595264,27.128461,1.020049,2.004856,2503.238557,2776.715529,5715.303265,5602.971746,,294.049632,,288.250823,,372.575501,coordinator,oneshot,1,,158.996334,160.249770,144.561579,133.076528,89.697966,90.167639,80.306452,81.681858,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s256_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s256_t20.json
16,256,20,ok,ok,350.779972,333.356383,0.950329,-4.967099,45.612638,47.996681,1.052267,5.226715,3248.041648,3626.762902,6664.819473,6333.771280,,332.434230,,332.673641,,391.075706,coordinator,oneshot,1,,160.291366,164.832100,155.447692,136.448466,97.034818,91.374828,88.089401,81.439542,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s256_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s256_t20.json
32,256,20,ok,ok,449.914766,421.636005,0.937146,-6.285360,71.124583,75.894847,1.067069,6.706913,3479.466857,4020.451989,8548.380559,8011.084092,,420.773773,,426.576871,,465.259923,coordinator,oneshot,1,,179.117450,166.405355,193.101302,181.004405,124.689348,128.793058,114.797145,119.449164,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s256_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s256_t20.json
64,256,20,ok,ok,626.346062,575.310907,0.918519,-8.148076,102.179935,111.244197,1.088709,8.870883,3920.712059,4824.504765,11900.575183,10930.907231,,574.491639,,580.922411,,611.397315,coordinator,oneshot,1,,197.810790,188.056069,219.643245,193.646452,132.979875,120.603254,123.301813,112.011148,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s256_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s256_t20.json
128,256,20,ok,ok,851.722009,825.638178,0.969375,-3.062482,150.283777,155.031591,1.031592,3.159233,5101.528840,6207.326336,16182.718163,15687.125374,,824.689792,,824.852819,,880.375888,coordinator,oneshot,1,,233.391466,228.073102,250.768367,240.832368,141.951485,147.969926,131.920436,138.473628,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s256_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s256_t20.json
256,256,20,ok,ok,1330.536296,1351.852475,1.016021,1.602074,192.403620,189.369776,0.984232,-1.576813,6956.817599,9012.248809,25280.189624,25685.197034,,1350.988512,,1366.197064,,1412.373760,coordinator,oneshot,1,,261.559259,268.553818,258.822646,274.821364,145.228909,163.238743,136.327244,154.043062,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s256_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s256_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s256_t20.json
2,512,20,ok,ok,237.961297,234.565574,0.985730,-1.427006,8.404728,8.526400,1.014477,1.447664,2358.621513,2672.175361,4521.264635,4456.745908,,233.666772,,225.139743,,313.497326,coordinator,oneshot,1,,126.320506,136.152352,92.065154,96.789032,65.554162,71.528264,57.476087,63.024437,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s512_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s512_t20.json
4,512,20,ok,ok,270.464748,265.139623,0.980311,-1.968879,14.789358,15.086391,1.020084,2.008423,2563.722592,2873.103194,5138.830204,5037.652838,,264.179161,,257.008476,,348.099009,coordinator,oneshot,1,,159.530409,151.877701,126.548091,124.508534,79.190809,88.254098,69.670772,78.571240,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s512_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s512_t20.json
8,512,20,ok,ok,325.719499,284.108917,0.872250,-12.774974,24.561010,28.158215,1.146460,14.645997,3354.980191,3556.074024,6188.670488,5398.069424,,283.305448,,278.423901,,355.154897,coordinator,oneshot,1,,179.949829,142.804715,167.573839,128.673993,103.141600,94.732588,93.616232,86.078520,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s512_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s512_t20.json
16,512,20,ok,ok,382.400439,363.380599,0.950262,-4.973802,41.840956,44.030969,1.052341,5.234137,5419.285759,3903.298792,7265.608333,6904.231378,,362.527964,,359.242327,,417.091638,coordinator,oneshot,1,,181.321405,179.793718,187.335907,168.332428,115.261331,104.375880,105.981758,94.986451,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s512_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s512_t20.json
32,512,20,ok,ok,456.253949,440.600313,0.965691,-3.430904,70.136379,72.628183,1.035528,3.552797,4208.777068,4632.813395,8668.825034,8371.405941,,439.693766,,436.908906,,490.007308,coordinator,oneshot,1,,173.192572,199.267204,179.699643,195.166577,110.456472,117.412214,101.627659,108.165754,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s512_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s512_t20.json
64,512,20,ok,ok,656.741042,616.010708,0.937981,-6.201887,97.450891,103.894298,1.066120,6.611952,5030.717181,5959.809844,12478.079800,11704.203446,,615.057218,,623.761853,,639.429401,coordinator,oneshot,1,,237.199370,202.461378,260.654191,198.413472,158.438701,123.516858,147.986395,114.652541,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s512_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s512_t20.json
128,512,20,ok,ok,900.349886,901.613824,1.001404,0.140383,142.166953,141.967655,0.998598,-0.140186,7088.421915,9136.192213,17106.647829,17130.662650,,900.705389,,905.972825,,969.025165,coordinator,oneshot,1,,242.907507,258.774296,241.191892,247.765630,142.576698,148.472074,133.236799,138.023718,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s512_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s512_t20.json
256,512,20,ok,ok,1452.502645,1407.419185,0.968962,-3.103847,176.247528,181.893215,1.032033,3.203272,11233.862048,15249.796361,27597.550251,26740.964512,,1406.357288,,1423.390883,,1447.293604,coordinator,oneshot,1,,307.387440,315.972560,277.232410,268.369032,159.503881,157.349947,150.218582,147.970571,results_npu_ep7/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s512_t20.json,results_npu_ep7/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_attention_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s512_t20.json,results_npu/coordinator_arch/singlehost_ep7/coordinator/decode-dbo/timing_ffn_coordinator_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s512_t20.json
