ep,batch,seq,serial_tpot_ms,old_decode_dbo_tpot_ms,ep4_sync_tpot_ms,overlap_tpot_ms,speedup_vs_serial,speedup_vs_old_dbo,speedup_vs_ep4_sync,attn_compute_ms_per_layer_mb,attn_recv_wait_ms_per_layer_mb,ffn_compute_ms_per_layer_mb,ffn_local_experts_ms_per_layer_mb,ffn_reduce_wait_ms_per_layer_mb,ffn_overlap_hidden_ms_per_layer_mb,ffn_attn_compute_ratio
4,4,128,252.722,273.469,783.6805351666713,753.9250263454098,0.3352083976108995,0.3627270490351258,1.0394674639804689,1.1180185053187113,5.997198342811316,5.70656768589591,5.5878851368712885,0.010223787588377794,2.938835920455555,5.104179992324143
4,8,512,351.484,332.727,931.0402444710857,464.0093051681393,0.7574934297333447,0.7170696714356458,2.0065120119384505,1.021210860926658,2.7433131472207606,2.283821231685579,2.1582586341537535,0.010766787454485893,1.2955104854578774,2.2363855684155323
7,8,512,351.484,332.727,931.0402444710857,380.6579129672364,0.9233592368018172,0.8740840231229821,2.44587124752933,1.18948226251329,1.919555167357127,1.6475868954633672,1.5222579434824486,0.010556774213910103,0.8363166707567871,1.3851294360473567
7,16,512,502.899,546.922,,463.440116494894,1.0851434351508944,1.180135211721633,,1.01198855554685,2.4918276661386094,2.0913725796466074,1.9720966617266338,0.009987367472300926,1.0610466512540977,2.066597065928763
