mode,mb,reps,total_time_ms_median,decode_tpot_ms_median,prefill_ms_median
prefill,2,3,746.2723238859326,,
prefill,3,3,797.6763600017875,,
prefill,4,3,1002.3812290746719,,
decode,2,3,379.61936090141535,277.6551802332203,1436.5718530025333
decode,3,3,339.85297312028706,294.0382043468869,1411.6972389165312
decode,4,3,464.45597102865577,391.8660005502817,1442.925791023299
