mode,batch,seq,tokens,visible_chip_pool,active_world_size,status,report
prefill-dbo,32,512,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b32_s512_t20.md
prefill-dbo,64,512,20,16,2,OOM,
decode-dbo,2,128,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b2_s128_t20.md
decode-dbo,4,128,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b4_s128_t20.md
decode-dbo,8,128,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b8_s128_t20.md
decode-dbo,16,128,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b16_s128_t20.md
decode-dbo,32,128,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b32_s128_t20.md
decode-dbo,64,128,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b64_s128_t20.md
decode-dbo,128,128,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b128_s128_t20.md
decode-dbo,256,128,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b256_s128_t20.md
decode-dbo,2,256,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b2_s256_t20.md
decode-dbo,4,256,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b4_s256_t20.md
decode-dbo,8,256,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b8_s256_t20.md
decode-dbo,16,256,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b16_s256_t20.md
decode-dbo,32,256,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b32_s256_t20.md
decode-dbo,64,256,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b64_s256_t20.md
decode-dbo,128,256,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b128_s256_t20.md
decode-dbo,256,256,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b256_s256_t20.md
decode-dbo,2,512,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b2_s512_t20.md
decode-dbo,4,512,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b4_s512_t20.md
decode-dbo,8,512,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b8_s512_t20.md
decode-dbo,16,512,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b16_s512_t20.md
decode-dbo,32,512,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b32_s512_t20.md
decode-dbo,64,512,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b64_s512_t20.md
decode-dbo,128,512,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b128_s512_t20.md
decode-dbo,256,512,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b256_s512_t20.md
decode-dbo-crosslayer,2,128,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b2_s128_t20.md
decode-dbo-crosslayer,4,128,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b4_s128_t20.md
decode-dbo-crosslayer,8,128,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b8_s128_t20.md
decode-dbo-crosslayer,16,128,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b16_s128_t20.md
decode-dbo-crosslayer,32,128,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b32_s128_t20.md
decode-dbo-crosslayer,64,128,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b64_s128_t20.md
decode-dbo-crosslayer,128,128,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b128_s128_t20.md
decode-dbo-crosslayer,256,128,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b256_s128_t20.md
decode-dbo-crosslayer,2,256,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b2_s256_t20.md
decode-dbo-crosslayer,4,256,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b4_s256_t20.md
decode-dbo-crosslayer,8,256,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b8_s256_t20.md
decode-dbo-crosslayer,16,256,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b16_s256_t20.md
decode-dbo-crosslayer,32,256,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b32_s256_t20.md
decode-dbo-crosslayer,64,256,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b64_s256_t20.md
decode-dbo-crosslayer,128,256,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b128_s256_t20.md
decode-dbo-crosslayer,256,256,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b256_s256_t20.md
decode-dbo-crosslayer,2,512,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b2_s512_t20.md
decode-dbo-crosslayer,4,512,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b4_s512_t20.md
decode-dbo-crosslayer,8,512,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b8_s512_t20.md
decode-dbo-crosslayer,16,512,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b16_s512_t20.md
decode-dbo-crosslayer,32,512,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b32_s512_t20.md
decode-dbo-crosslayer,64,512,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b64_s512_t20.md
decode-dbo-crosslayer,128,512,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b128_s512_t20.md
decode-dbo-crosslayer,256,512,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b256_s512_t20.md
serial,512,128,20,16,2,ok,results_npu/serial/report_serial_b512_s128_t20.md
serial,512,256,20,16,2,ok,results_npu/serial/report_serial_b512_s256_t20.md
serial,512,512,20,16,2,ok,results_npu/serial/report_serial_b512_s512_t20.md
prefill-dbo,512,128,20,16,2,OOM,
prefill-dbo,512,256,20,16,2,OOM,
prefill-dbo,512,512,20,16,2,OOM,
decode-dbo,512,128,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b512_s128_t20.md
decode-dbo,512,256,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b512_s256_t20.md
decode-dbo,512,512,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b512_s512_t20.md
decode-dbo-crosslayer,512,128,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b512_s128_t20.md
decode-dbo-crosslayer,512,256,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b512_s256_t20.md
decode-dbo-crosslayer,512,512,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b512_s512_t20.md
serial,2,1024,20,16,2,ok,results_npu/serial/report_serial_b2_s1024_t20.md
serial,4,1024,20,16,2,ok,results_npu/serial/report_serial_b4_s1024_t20.md
serial,8,1024,20,16,2,ok,results_npu/serial/report_serial_b8_s1024_t20.md
serial,16,1024,20,16,2,ok,results_npu/serial/report_serial_b16_s1024_t20.md
serial,32,1024,20,16,2,ok,results_npu/serial/report_serial_b32_s1024_t20.md
serial,64,1024,20,16,2,ok,results_npu/serial/report_serial_b64_s1024_t20.md
serial,128,1024,20,16,2,ok,results_npu/serial/report_serial_b128_s1024_t20.md
serial,256,1024,20,16,2,ok,results_npu/serial/report_serial_b256_s1024_t20.md
serial,512,1024,20,16,2,ok,results_npu/serial/report_serial_b512_s1024_t20.md
serial,2,2048,20,16,2,ok,results_npu/serial/report_serial_b2_s2048_t20.md
serial,4,2048,20,16,2,ok,results_npu/serial/report_serial_b4_s2048_t20.md
serial,8,2048,20,16,2,ok,results_npu/serial/report_serial_b8_s2048_t20.md
serial,16,2048,20,16,2,ok,results_npu/serial/report_serial_b16_s2048_t20.md
serial,32,2048,20,16,2,ok,results_npu/serial/report_serial_b32_s2048_t20.md
serial,64,2048,20,16,2,ok,results_npu/serial/report_serial_b64_s2048_t20.md
serial,128,2048,20,16,2,ok,results_npu/serial/report_serial_b128_s2048_t20.md
serial,256,2048,20,16,2,ok,results_npu/serial/report_serial_b256_s2048_t20.md
serial,512,2048,20,16,2,ok,results_npu/serial/report_serial_b512_s2048_t20.md
prefill-dbo,2,1024,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b2_s1024_t20.md
prefill-dbo,4,1024,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b4_s1024_t20.md
prefill-dbo,8,1024,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b8_s1024_t20.md
prefill-dbo,16,1024,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b16_s1024_t20.md
prefill-dbo,32,1024,20,16,2,OOM,
prefill-dbo,2,2048,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b2_s2048_t20.md
prefill-dbo,4,2048,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b4_s2048_t20.md
prefill-dbo,8,2048,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b8_s2048_t20.md
prefill-dbo,16,2048,20,16,2,OOM,
decode-dbo,2,1024,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b2_s1024_t20.md
decode-dbo,4,1024,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b4_s1024_t20.md
decode-dbo,8,1024,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b8_s1024_t20.md
decode-dbo,16,1024,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b16_s1024_t20.md
decode-dbo,32,1024,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b32_s1024_t20.md
decode-dbo,64,1024,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b64_s1024_t20.md
decode-dbo,128,1024,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b128_s1024_t20.md
decode-dbo,256,1024,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b256_s1024_t20.md
decode-dbo,512,1024,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b512_s1024_t20.md
decode-dbo,2,2048,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b2_s2048_t20.md
decode-dbo,4,2048,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b4_s2048_t20.md
decode-dbo,8,2048,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b8_s2048_t20.md
decode-dbo,16,2048,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b16_s2048_t20.md
decode-dbo,32,2048,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b32_s2048_t20.md
decode-dbo,64,2048,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b64_s2048_t20.md
decode-dbo,128,2048,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b128_s2048_t20.md
decode-dbo,256,2048,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b256_s2048_t20.md
decode-dbo,512,2048,20,16,2,ok,results_npu/decode-dbo/report_decode-dbo_b512_s2048_t20.md
decode-dbo-crosslayer,2,1024,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b2_s1024_t20.md
decode-dbo-crosslayer,4,1024,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b4_s1024_t20.md
decode-dbo-crosslayer,8,1024,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b8_s1024_t20.md
decode-dbo-crosslayer,16,1024,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b16_s1024_t20.md
decode-dbo-crosslayer,32,1024,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b32_s1024_t20.md
decode-dbo-crosslayer,64,1024,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b64_s1024_t20.md
decode-dbo-crosslayer,128,1024,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b128_s1024_t20.md
decode-dbo-crosslayer,256,1024,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b256_s1024_t20.md
decode-dbo-crosslayer,512,1024,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b512_s1024_t20.md
decode-dbo-crosslayer,2,2048,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b2_s2048_t20.md
decode-dbo-crosslayer,4,2048,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b4_s2048_t20.md
decode-dbo-crosslayer,8,2048,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b8_s2048_t20.md
decode-dbo-crosslayer,16,2048,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b16_s2048_t20.md
decode-dbo-crosslayer,32,2048,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b32_s2048_t20.md
decode-dbo-crosslayer,64,2048,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b64_s2048_t20.md
decode-dbo-crosslayer,128,2048,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b128_s2048_t20.md
decode-dbo-crosslayer,256,2048,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b256_s2048_t20.md
decode-dbo-crosslayer,512,2048,20,16,2,ok,results_npu/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b512_s2048_t20.md
serial,1024,128,20,16,2,OOM,
serial,1024,256,20,16,2,OOM,
serial,1024,512,20,16,2,OOM,
serial,1024,1024,20,16,2,OOM,
serial,1024,2048,20,16,2,OOM,
decode-dbo,1024,128,20,16,2,OOM,
