root,mode,tag,batch,seq,tokens,status,serial_cache,serial_baseline_ms,dbo_ms,speedup,note
results_npu,decode,decode-dbo_b512_s256_t20,512,256,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b512_s256_t20.json,2376.826362,2989.887009,0.794955,decode_tpot_ms
results_npu,decode,decode-dbo_b512_s512_t20,512,512,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b512_s512_t20.json,2452.359352,2992.382871,0.819534,decode_tpot_ms
results_npu,decode,decode-dbo_b64_s1024_t20,64,1024,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b64_s1024_t20.json,825.400386,1120.013146,0.736956,decode_tpot_ms
results_npu,decode,decode-dbo_b64_s128_t20,64,128,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b64_s128_t20.json,727.736536,980.933360,0.741882,decode_tpot_ms
results_npu,decode,decode-dbo_b64_s2048_t20,64,2048,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b64_s2048_t20.json,716.355296,946.972968,0.756469,decode_tpot_ms
results_npu,decode,decode-dbo_b64_s256_t20,64,256,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b64_s256_t20.json,778.501339,956.428991,0.813967,decode_tpot_ms
results_npu,decode,decode-dbo_b64_s512_t20,64,512,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b64_s512_t20.json,787.876966,942.059413,0.836335,decode_tpot_ms
results_npu,decode,decode-dbo_b8_s1024_t20,8,1024,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b8_s1024_t20.json,332.902055,304.267273,1.094111,decode_tpot_ms
results_npu,decode,decode-dbo_b8_s128_t20,8,128,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b8_s128_t20.json,331.681323,299.766948,1.106464,decode_tpot_ms
results_npu,decode,decode-dbo_b8_s2048_t20,8,2048,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b8_s2048_t20.json,372.192135,344.230668,1.081229,decode_tpot_ms
results_npu,decode,decode-dbo_b8_s256_t20,8,256,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b8_s256_t20.json,356.937195,306.860654,1.163190,decode_tpot_ms
results_npu,decode,decode-dbo_b8_s512_t20,8,512,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b8_s512_t20.json,351.484312,332.727345,1.056373,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b128_s1024_t20,128,1024,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b128_s1024_t20.json,982.756307,1407.960837,0.698000,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b128_s128_t20,128,128,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b128_s128_t20.json,943.196588,1289.583004,0.731397,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b128_s2048_t20,128,2048,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b128_s2048_t20.json,1036.087584,1395.942393,0.742214,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b128_s256_t20,128,256,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b128_s256_t20.json,1019.600885,1456.712709,0.699933,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b128_s512_t20,128,512,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b128_s512_t20.json,993.801008,1381.302288,0.719467,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b16_s1024_t20,16,1024,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b16_s1024_t20.json,476.024776,528.909409,0.900012,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b16_s128_t20,16,128,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b16_s128_t20.json,482.928947,552.234075,0.874500,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b16_s2048_t20,16,2048,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b16_s2048_t20.json,478.085149,526.639410,0.907804,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b16_s256_t20,16,256,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b16_s256_t20.json,502.990068,494.847142,1.016455,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b16_s512_t20,16,512,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b16_s512_t20.json,502.898644,505.093802,0.995654,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b256_s1024_t20,256,1024,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b256_s1024_t20.json,1543.601148,1834.187379,0.841572,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b256_s128_t20,256,128,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b256_s128_t20.json,1551.134683,1825.100646,0.849890,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b256_s2048_t20,256,2048,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b256_s2048_t20.json,1570.746133,1880.169270,0.835428,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b256_s256_t20,256,256,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b256_s256_t20.json,1501.062277,1829.627176,0.820420,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b256_s512_t20,256,512,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b256_s512_t20.json,1497.959812,1756.820377,0.852654,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b2_s1024_t20,2,1024,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b2_s1024_t20.json,223.939134,273.092311,0.820013,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b2_s128_t20,2,128,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b2_s128_t20.json,232.999309,244.986142,0.951071,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b2_s2048_t20,2,2048,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b2_s2048_t20.json,243.484836,238.507683,1.020868,decode_tpot_ms
results_npu,decode,decode-dbo-crosslayer_b2_s256_t20,2,256,20,ok,/home/zyz/afd_demo/results_npu/serial/cache/b2_s256_t20.json,228.835087,250.506935,0.913488,decode_tpot_ms
