backend,shape,dispatch_mib,dispatch_ms,dispatch_effective_gbps,combine_mib,combine_ms,combine_effective_gbps
broadcast_reduce_overlap,b16_s128,0.4779052734375,1.2641260227029945,0.3964161729132743,0.46875,0.7213595759202825,0.6813800168562784
broadcast_reduce_overlap,b32_s256,0.955810546875,1.943082838477765,0.5157989047884172,0.9375,0.9170747386846454,1.0719300821762554
broadcast_reduce_overlap,b256_s1024,7.646484375,1.9155530075720968,4.1856946627451785,7.5,1.0172368294777387,7.7310610195244625
all_to_all_single,b16_s128,0.234375,4.963710054537242,0.049511352859008144,0.234375,1.145226043708464,0.21459518961355564
all_to_all_single,b32_s256,0.46875,5.118531833818936,0.09602753601187959,0.46875,1.196722299395565,0.4107218527207645
all_to_all_single_no_weight,b256_s1024,3.75,4.014907110026701,0.9793900312612338,3.75,1.1896813223931066,3.3052212605055042
