phase,case,batch,seq_or_cache,latency_median_ms,latency_mean_ms,speedup_vs_hf,ok_count,source,ms_per_b_cache,ms_per_b,ms_per_b_s,ms_per_b_s2
decode_core,hf_sdpa,1,128,0.04868865168342988,0.04868239112612274,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,0.00038038009127679595,0.04868865168342988,,
decode_core,hf_sdpa,1,512,0.04825197781125705,0.0488398945890367,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,9.424214416261142e-05,0.04825197781125705,,
decode_core,hf_sdpa,1,1024,0.05209364462643862,0.05206220117138906,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,5.087269983050646e-05,0.05209364462643862,,
decode_core,hf_sdpa,8,128,0.07070697999248902,0.07080645203435172,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,6.904978514891506e-05,0.008838372499061128,,
decode_core,hf_sdpa,8,512,0.08789737087984881,0.08775842272573048,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,2.1459319062463088e-05,0.010987171359981101,,
decode_core,hf_sdpa,8,1024,0.11354063947995505,0.11360799544490874,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,1.385994134276795e-05,0.01419257993499438,,
decode_core,hf_sdpa,32,128,0.13686735959102708,0.13658252363610598,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,3.3414882712653096e-05,0.004277104987219596,,
decode_core,hf_sdpa,32,512,0.21665469588090974,0.21655472745704982,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,1.3223553215387558e-05,0.0067704592462784294,,
decode_core,hf_sdpa,32,1024,0.4311826778575778,0.4314634974838959,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,1.3158651057665338e-05,0.013474458683049306,,
decode_core,official_ifa,1,128,0.04598199545095365,0.04623023980659329,1.0588633922023516,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,0.00035923433946057537,0.04598199545095365,,
decode_core,official_ifa,1,512,0.045137014240026474,0.04638335505862617,1.069011289817843,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,8.815823093755171e-05,0.045137014240026474,,
decode_core,official_ifa,1,1024,0.04681533512969811,0.04705009147680054,1.1127474465817104,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,4.5718100712595813e-05,0.04681533512969811,,
decode_core,official_ifa,8,128,0.04612033565839131,0.047550294160222016,1.5330976885382732,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,4.5039390291397766e-05,0.005765041957298914,,
decode_core,official_ifa,8,512,0.0468818082784613,0.04846837449197968,1.8748715996142815,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,1.1445753974233716e-05,0.0058602260348076625,,
decode_core,official_ifa,8,1024,0.050062003235022225,0.05114567466080189,2.268000322458623,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,6.111084379275174e-06,0.006257750404377778,,
decode_core,official_ifa,32,128,0.05841371603310108,0.058552405486504235,2.3430688695351787,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,1.4261161140893819e-05,0.0018254286260344088,,
decode_core,official_ifa,32,512,0.06542867049574852,0.06573092185943905,3.311311298843948,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,3.993449126937776e-06,0.0020446459529921412,,
decode_core,official_ifa,32,1024,0.07818883750587702,0.07816381629608157,5.5146321599316295,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,2.386133957088532e-06,0.002443401172058657,,
decode_full_layer,hf,1,128,0.7370513242979845,0.7433008868247271,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,0.005758213471078004,0.7370513242979845,,
decode_full_layer,hf,1,512,0.7160529882336657,0.7346387412528403,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,0.0013985409926438783,0.7160529882336657,,
decode_full_layer,hf,1,1024,0.7225978188216686,0.7368530722386721,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,0.0007056619324430358,0.7225978188216686,,
decode_full_layer,hf,8,128,0.7280630137150486,0.7409358222503215,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,0.0007109990368311021,0.09100787671438107,,
decode_full_layer,hf,8,512,0.7269778676951926,0.741342491690173,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,0.00017748483098027162,0.09087223346189907,,
decode_full_layer,hf,8,1024,0.7517164728293817,0.772250067610811,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,9.176226474968038e-05,0.09396455910367271,,
decode_full_layer,hf,32,128,0.7410681573674083,0.758085860676753,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,0.0001809248431072774,0.02315837991773151,,
decode_full_layer,hf,32,512,0.7720233406871557,0.7882216402019063,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,4.712056522748753e-05,0.024125729396473616,,
decode_full_layer,hf,32,1024,1.0514868190512061,1.0583863283197086,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,3.208883114780292e-05,0.03285896309535019,,
decode_full_layer,official,1,128,0.7793683713922899,0.7777467382968299,0.9457034072107535,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,0.006088815401502265,0.7793683713922899,,
decode_full_layer,official,1,512,0.7519264860699575,0.7698300242837932,0.9522912166270544,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,0.0014686064181053857,0.7519264860699575,,
