phase,case,batch,seq,cache_len,ok_count,fail_count,latency_median_ms,latency_mean_ms,latency_min_ms,latency_max_ms,latency_std_ms,aggregate_delta_ms_vs_hf,aggregate_speedup_vs_hf,max_abs_diff_median,max_abs_diff_max,mean_abs_diff_median,mean_abs_diff_max
decode_core,hf_sdpa,1,1,1024,48,0,0.04757350931564967,0.04850364833449324,0.04610667626063029,0.08506731440623601,0.005435474920427418,0.0,1.0,,,,
decode_core,hf_sdpa,1,1,128,48,0,0.04341201080630223,0.04413722005362312,0.04070663514236609,0.054963709165652595,0.0028841808255493464,0.0,1.0,,,,
decode_core,hf_sdpa,1,1,512,48,0,0.0444602919742465,0.04478038236912754,0.04272038737932841,0.05325698293745518,0.001660531113240776,0.0,1.0,,,,
decode_core,hf_sdpa,16,1,1024,48,0,0.20324636716395617,0.20358761604357925,0.19390430922309557,0.21408467243115106,0.00479725818144024,0.0,1.0,,,,
decode_core,hf_sdpa,16,1,128,48,0,0.08985896905263266,0.09001828827119122,0.08772732689976692,0.09374398117264111,0.001354136067931143,0.0,1.0,,,,
decode_core,hf_sdpa,16,1,512,48,0,0.1289040083065629,0.12887426257495666,0.12683061261971793,0.13132734845081964,0.0010855252891165622,0.0,1.0,,,,
decode_core,hf_sdpa,4,1,1024,48,0,0.07649402444561323,0.07708122009514934,0.0746636651456356,0.08230066547791164,0.0017462821517830567,0.0,1.0,,,,
decode_core,hf_sdpa,4,1,128,48,0,0.05592529972394307,0.05630117892805073,0.0539170578122139,0.06321701221168041,0.0017008479546667093,0.0,1.0,,,,
decode_core,hf_sdpa,4,1,512,48,0,0.0675189852093657,0.06770545345110197,0.06480064863959949,0.07233070209622383,0.0015483286081246315,0.0,1.0,,,,
decode_core,official_ifa,1,1,1024,48,0,0.042925317150851086,0.043934890224287905,0.03966370907922586,0.07144734263420105,0.004504934059686783,-0.004648192164798587,1.108285563702735,0.0,0.00048828125,0.0,1.1920928955078125e-07
decode_core,official_ifa,1,1,128,48,0,0.04171017402162155,0.04238971450831741,0.03775667088727156,0.05722697824239731,0.0035913647539837427,-0.0017018367846806798,1.0408014788861464,0.0,0.0,0.0,0.0
