pipeline_file,batch,seq,tokens,num_micro_batches,mb_sizes,decode_tpot_ms,prefill_ms,decode_loop_ms,tbt_mean_ms,tbt_p50_ms,tbt_p99_ms,pipeline_layer_count,pipeline_attn_mb_event_count,pipeline_attn_per_mb_median_ms,pipeline_attn_per_layer_sum_median_ms,pipeline_attn_per_layer_sum_p90_ms,pipeline_attn_per_layer_sum_p99_ms,single_layer_case,single_layer_global_ms,single_layer_mb_sum_ms,missing_mb_sizes,pipeline_vs_single_global,pipeline_vs_single_mb_sum
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b1_s1024_t10_r1.json,1,1024,9,1,1,149.7668941091332,1701.9532870035619,1347.902046982199,148.26876879669726,142.0049259904772,197.6201380416751,0,0,nan,nan,nan,nan,official_fused_both,0.6592206579322617,0.6256423269708952,,nan,nan
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b1_s1024_t10_r2.json,1,1024,9,1,1,145.79576533287764,1607.3656328953803,1312.1618879958987,144.43389660057923,136.46554108709097,191.48202752694488,0,0,nan,nan,nan,nan,official_fused_both,0.6592206579322617,0.6256423269708952,,nan,nan
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b1_s1024_t10_r3.json,1,1024,9,1,1,143.99149276626608,1629.5188448857516,1295.9234348963946,142.34021448323296,134.83717013150454,190.93168696388602,0,0,nan,nan,nan,nan,official_fused_both,0.6592206579322617,0.6256423269708952,,nan,nan
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b1_s128_t10_r1.json,1,128,9,1,1,145.32285566545195,1501.46649684757,1307.9057009890676,143.9448247094535,137.43397686630487,190.69813003763556,0,0,nan,nan,nan,nan,official_fused_both,0.6459141538167994,0.6271906507511933,,nan,nan
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b1_s128_t10_r2.json,1,128,9,1,1,147.85093177730838,1505.81776490435,1330.6583859957755,146.44808614523046,138.93532706424594,190.90636571869254,0,0,nan,nan,nan,nan,official_fused_both,0.6459141538167994,0.6271906507511933,,nan,nan
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b1_s128_t10_r3.json,1,128,9,1,1,151.61310808940067,1568.2553728111088,1364.517972804606,150.15869766163328,145.1637870632112,197.79081093147397,0,0,nan,nan,nan,nan,official_fused_both,0.6459141538167994,0.6271906507511933,,nan,nan
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b1_s512_t10_r1.json,1,512,9,1,1,147.64637722530298,1562.2360848356038,1328.817395027727,146.20277567559646,140.42376610450447,192.12668207474053,0,0,nan,nan,nan,nan,official_fused_both,0.6437723447258273,0.6214489694684744,,nan,nan
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b1_s512_t10_r2.json,1,512,9,1,1,147.0913125667721,1573.0132129974663,1323.821813100949,145.6260942440066,140.62805799767375,189.9741446878761,0,0,nan,nan,nan,nan,official_fused_both,0.6437723447258273,0.6214489694684744,,nan,nan
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b1_s512_t10_r3.json,1,512,9,1,1,147.64224833601878,1566.0232189111412,1328.780235024169,146.38024811736412,141.80999505333602,190.74790799058974,0,0,nan,nan,nan,nan,official_fused_both,0.6437723447258273,0.6214489694684744,,nan,nan
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b32_s1024_t10_r1.json,32,1024,9,2,"16,16",700.7478785752836,6606.340507976711,6306.730907177553,699.3534132165628,665.0818609632552,843.2079246360809,47,94,0.9499359875917435,1.900311792269349,1.9564684480428696,2.0846572797745466,official_fused_both,0.6487910092497866,1.2580680195242167,,2.9290045101992512,1.5105000387721643
