ep_size,backend,mode,num_micro_batches,batch,seq,tokens,status,detail,decode_tpot_ms,oom_side,report,pipeline,resource_h1,resource_h2,h1_rank0_log,h2_rank1_log,h2_rank_last_log
16,broadcast_reduce_overlap,serial,2,32,512,20,OK,,313.213,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b32_s512_t20/report_xhost_static_serial_ep16_broadcast_reduce_overlap_b32_s512_t20.md,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b32_s512_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b32_s512_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b32_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b32_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b32_s512_t20/h2_rank16.log
16,broadcast_reduce_overlap,decode-dbo,2,32,512,20,OK,,384.549,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b32_s512_t20/report_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b32_s512_t20.md,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b32_s512_t20/pipeline_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b32_s512_t20.png,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b32_s512_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b32_s512_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b32_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b32_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b32_s512_t20/h2_rank16.log
16,broadcast_reduce_overlap,serial,2,64,512,20,OK,,440.253,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b64_s512_t20/report_xhost_static_serial_ep16_broadcast_reduce_overlap_b64_s512_t20.md,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b64_s512_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b64_s512_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b64_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b64_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b64_s512_t20/h2_rank16.log
16,broadcast_reduce_overlap,decode-dbo,2,64,512,20,OK,,527.029,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b64_s512_t20/report_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b64_s512_t20.md,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b64_s512_t20/pipeline_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b64_s512_t20.png,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b64_s512_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b64_s512_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b64_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b64_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b64_s512_t20/h2_rank16.log
16,broadcast_reduce_overlap,serial,2,2,1024,20,OK,,183.340,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b2_s1024_t20/report_xhost_static_serial_ep16_broadcast_reduce_overlap_b2_s1024_t20.md,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b2_s1024_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b2_s1024_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b2_s1024_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b2_s1024_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b2_s1024_t20/h2_rank16.log
16,broadcast_reduce_overlap,decode-dbo,2,2,1024,20,OK,,224.930,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b2_s1024_t20/report_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b2_s1024_t20.md,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b2_s1024_t20/pipeline_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b2_s1024_t20.png,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b2_s1024_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b2_s1024_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b2_s1024_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b2_s1024_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b2_s1024_t20/h2_rank16.log
16,broadcast_reduce_overlap,serial,2,4,1024,20,OK,,197.034,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b4_s1024_t20/report_xhost_static_serial_ep16_broadcast_reduce_overlap_b4_s1024_t20.md,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b4_s1024_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b4_s1024_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b4_s1024_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b4_s1024_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b4_s1024_t20/h2_rank16.log
16,broadcast_reduce_overlap,decode-dbo,2,4,1024,20,OK,,246.625,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b4_s1024_t20/report_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b4_s1024_t20.md,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b4_s1024_t20/pipeline_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b4_s1024_t20.png,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b4_s1024_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b4_s1024_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b4_s1024_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b4_s1024_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b4_s1024_t20/h2_rank16.log
16,broadcast_reduce_overlap,serial,2,8,1024,20,OK,,224.407,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b8_s1024_t20/report_xhost_static_serial_ep16_broadcast_reduce_overlap_b8_s1024_t20.md,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b8_s1024_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b8_s1024_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b8_s1024_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b8_s1024_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/serial_ep16_broadcast_reduce_overlap_b8_s1024_t20/h2_rank16.log
16,broadcast_reduce_overlap,decode-dbo,2,8,1024,20,OK,,286.660,,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b8_s1024_t20/report_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b8_s1024_t20.md,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b8_s1024_t20/pipeline_xhost_static_decode-dbo_ep16_broadcast_reduce_overlap_b8_s1024_t20.png,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b8_s1024_t20/npu_smi_host1.log,/home/zhangyz/afd_demo/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b8_s1024_t20/npu_smi_host2.log,/workspace/afd_demo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b8_s1024_t20/h1_rank0.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b8_s1024_t20/h2_rank1.log,/workspace/afd_demo_repo_crosshost_ep/results_npu_ep16_crosshost_host2/decode-dbo_ep16_broadcast_reduce_overlap_b8_s1024_t20/h2_rank16.log
