mode,batch,seq,tokens,status,tpot_ms,serial_tpot_ms,speedup,prefill_ms,serial_prefill_ms,prefill_speedup,total_time_ms,correctness_tokens
decode-dbo,32,256,20,ok,449.914766,562.793789,1.250890,3479.466857,1834.735934,,374.725783,
decode-dbo,32,512,20,ok,456.253949,567.047600,1.242833,4208.777068,1811.751774,,363.352014,
decode-dbo,4,1024,20,ok,261.564307,250.605191,0.958102,3272.921057,1801.795335,,294.624329,
decode-dbo,4,128,20,ok,255.438195,252.722040,0.989367,2325.995324,1810.318829,,304.808326,
decode-dbo,4,2048,20,ok,281.205440,261.056418,0.928348,3652.197752,1810.688071,,315.395344,
decode-dbo,4,256,20,ok,253.578399,252.753182,0.996746,2509.375095,1854.280565,,290.250545,
decode-dbo,4,512,20,ok,270.464748,264.484759,0.977890,2563.722592,2077.599488,,311.626511,
decode-dbo,512,128,20,ok,2204.243512,2426.876420,1.101002,7031.164626,2473.322216,,653.349528,
decode-dbo,512,256,20,ok,2259.748860,2376.826362,1.051810,11421.695609,2432.172908,,718.152916,
decode-dbo,512,512,20,ok,2394.425311,2452.359352,1.024195,21231.286643,2407.139201,,842.253862,
decode-dbo,64,1024,20,ok,668.556253,825.400386,1.234601,7283.353720,1840.622928,,434.796847,
decode-dbo,64,128,20,ok,605.714570,727.736536,1.201451,3441.139312,1886.973413,,389.592938,
decode-dbo,64,2048,20,ok,780.684824,716.355296,0.917599,12445.548208,1796.942599,,578.938521,
decode-dbo,64,256,20,ok,626.346062,778.501339,1.242925,3920.712059,1826.160708,,404.512899,
decode-dbo,64,512,20,ok,656.741042,787.876966,1.199677,5030.717181,1905.664172,,486.900695,
decode-dbo,8,1024,20,ok,290.437638,332.902055,1.146208,3485.926516,1787.238076,,305.726446,
decode-dbo,8,128,20,ok,295.318752,331.681323,1.123130,2349.781629,1754.059607,,317.900779,
decode-dbo,8,2048,20,ok,310.326165,372.192135,1.199358,3969.793852,1842.269661,,330.581235,
decode-dbo,8,256,20,ok,300.805435,356.937195,1.186605,2503.238557,1884.351173,,316.295497,
decode-dbo,8,512,20,ok,325.719499,351.484312,1.079101,3354.980191,1925.619027,,359.509271,
prefill-dbo,128,128,20,ok,,943.196588,,,1899.865853,2.869209,662.156656,
prefill-dbo,128,256,20,ok,,1019.600885,,,1934.678748,1.664994,1161.973067,
prefill-dbo,128,512,20,ok,,993.801008,,,1874.324884,0.790228,2371.879404,
prefill-dbo,16,1024,20,ok,,476.024776,,,1842.301028,2.801510,657.610064,
prefill-dbo,16,128,20,ok,,482.928947,,,1860.941635,5.410378,343.957786,
prefill-dbo,16,2048,20,ok,,478.085149,,,1808.415912,1.462850,1236.227639,
prefill-dbo,16,256,20,ok,,502.990068,,,1828.425616,4.905839,372.703981,
prefill-dbo,16,512,20,ok,,502.898644,,,1827.006565,4.062497,449.724996,
prefill-dbo,256,128,20,ok,,1551.134683,,,2145.097123,1.865646,1149.787972,
prefill-dbo,256,256,20,ok,,1501.062277,,,2071.600121,0.878375,2358.447133,
prefill-dbo,2,1024,20,ok,,223.939134,,,1796.999406,4.933537,364.241604,
prefill-dbo,2,128,20,ok,,232.999309,,,1809.366213,5.703570,317.233980,
prefill-dbo,2,2048,20,ok,,243.484836,,,1902.709397,4.838223,393.266132,
prefill-dbo,2,256,20,ok,,228.835087,,,1810.729753,5.240698,345.513092,
prefill-dbo,2,512,20,ok,,235.681577,,,1843.860777,5.856596,314.834915,
prefill-dbo,32,1024,20,ok,,614.067200,,,1846.701922,1.570510,1175.861033,
prefill-dbo,32,128,20,ok,,608.119416,,,1834.464157,4.798584,382.292846,
prefill-dbo,32,2048,20,ok,,574.730028,,,1952.356802,0.754163,2588.773131,
prefill-dbo,32,256,20,ok,,562.793789,,,1834.735934,4.010962,457.430363,
prefill-dbo,32,512,20,ok,,567.047600,,,1811.751774,2.767379,654.681560,
prefill-dbo,4,1024,20,ok,,250.605191,,,1801.795335,4.717521,381.936895,
prefill-dbo,4,128,20,ok,,252.722040,,,1810.318829,5.594663,323.579621,
prefill-dbo,4,2048,20,ok,,261.056418,,,1810.688071,3.981995,454.718798,
prefill-dbo,4,256,20,ok,,252.753182,,,1854.280565,5.375085,344.976956,
prefill-dbo,4,512,20,ok,,264.484759,,,2077.599488,6.081607,341.620127,
prefill-dbo,512,128,20,ok,,2426.876420,,,2473.322216,1.055055,2344.259491,
prefill-dbo,64,1024,20,ok,,825.400386,,,1840.622928,0.768020,2396.583414,
prefill-dbo,64,128,20,ok,,727.736536,,,1886.973413,4.143327,455.424735,
prefill-dbo,64,256,20,ok,,778.501339,,,1826.160708,2.771170,658.985380,
prefill-dbo,64,512,20,ok,,787.876966,,,1905.664172,1.623270,1173.966454,
prefill-dbo,8,1024,20,ok,,332.902055,,,1787.238076,3.996373,447.215032,
prefill-dbo,8,128,20,ok,,331.681323,,,1754.059607,5.396636,325.028332,
prefill-dbo,8,2048,20,ok,,372.192135,,,1842.269661,2.767733,665.624091,
prefill-dbo,8,256,20,ok,,356.937195,,,1884.351173,5.336774,353.088068,
prefill-dbo,8,512,20,ok,,351.484312,,,1925.619027,5.093681,378.040733,
decode-dbo-crosslayer,128,1024,20,ok,1003.713400,982.756307,0.979120,11734.433535,1923.054187,,581.860024,
decode-dbo-crosslayer,128,128,20,ok,894.725940,943.196588,1.054174,3941.633627,1899.865853,,489.341924,
decode-dbo-crosslayer,128,256,20,ok,853.254001,1019.600885,1.194956,4994.098455,1934.678748,,461.861623,
decode-dbo-crosslayer,128,512,20,ok,892.723496,993.801008,1.113224,7072.142743,1874.324884,,493.489336,
decode-dbo-crosslayer,16,1024,20,ok,365.068696,476.024776,1.303932,3937.767023,1842.301028,,338.228315,
decode-dbo-crosslayer,16,128,20,ok,366.689434,482.928947,1.316997,2534.217276,1860.941635,,326.302283,
decode-dbo-crosslayer,16,256,20,ok,351.288285,502.990068,1.431844,3293.762077,1828.425616,,329.700835,
decode-dbo-crosslayer,16,512,20,ok,367.411350,502.898644,1.368762,3505.695207,1827.006565,,354.411837,
decode-dbo-crosslayer,256,1024,20,ok,1655.602834,1543.601148,0.932350,20517.599000,2163.548507,,846.924901,
decode-dbo-crosslayer,256,128,20,ok,1340.412592,1551.134683,1.157207,4890.286265,2145.097123,,555.518640,
decode-dbo-crosslayer,256,256,20,ok,1355.956255,1501.062277,1.107014,6968.316738,2071.600121,,563.478880,
decode-dbo-crosslayer,256,512,20,ok,1434.587684,1497.959812,1.044174,11307.302665,2118.890563,,625.867704,
decode-dbo-crosslayer,2,128,20,ok,239.909125,232.999309,0.971198,2414.467363,1809.366213,,259.949325,
decode-dbo-crosslayer,2,256,20,ok,248.725564,228.835087,0.920030,2353.678985,1810.729753,,301.663702,
decode-dbo-crosslayer,2,512,20,ok,231.440404,235.681577,1.018325,2369.155655,1843.860777,,273.422347,
decode-dbo-crosslayer,32,1024,20,ok,474.625220,614.067200,1.293794,5074.150598,1846.701922,,392.435063,
decode-dbo-crosslayer,32,128,20,ok,476.338868,608.119416,1.276653,3297.757072,1834.464157,,362.736320,
decode-dbo-crosslayer,32,256,20,ok,429.653857,562.793789,1.309877,3546.409916,1834.735934,,351.600884,
decode-dbo-crosslayer,32,512,20,ok,450.788170,567.047600,1.257903,3989.912638,1811.751774,,403.789552,
decode-dbo-crosslayer,4,1024,20,ok,272.000460,250.605191,0.921341,3310.876250,1801.795335,,306.611074,
decode-dbo-crosslayer,4,128,20,ok,271.463138,252.722040,0.930963,2353.256794,1810.318829,,305.565953,
decode-dbo-crosslayer,4,256,20,ok,264.821187,252.753182,0.954430,2454.946056,1854.280565,,303.894339,
decode-dbo-crosslayer,4,512,20,ok,274.662696,264.484759,0.962944,2598.121285,2077.599488,,324.035965,
decode-dbo-crosslayer,512,128,20,ok,2216.145047,2426.876420,1.095089,6899.790043,2473.322216,,630.471803,
decode-dbo-crosslayer,512,256,20,ok,2265.870842,2376.826362,1.048968,11121.172335,2432.172908,,714.331931,
decode-dbo-crosslayer,512,512,20,ok,2359.699360,2452.359352,1.039268,21436.240114,2407.139201,,834.593922,
decode-dbo-crosslayer,64,1024,20,ok,671.961616,825.400386,1.228345,7329.293100,1840.622928,,446.354333,
decode-dbo-crosslayer,64,128,20,ok,639.173473,727.736536,1.138559,3488.073777,1886.973413,,441.324597,
decode-dbo-crosslayer,64,256,20,ok,608.857521,778.501339,1.278626,3983.637441,1826.160708,,388.539435,
decode-dbo-crosslayer,64,512,20,ok,638.966253,787.876966,1.233049,5071.379904,1905.664172,,427.276963,
decode-dbo-crosslayer,8,1024,20,ok,311.859847,332.902055,1.067473,3527.943105,1787.238076,,335.362602,
decode-dbo-crosslayer,8,128,20,ok,305.446776,331.681323,1.085889,2352.039455,1754.059607,,317.255992,
decode-dbo-crosslayer,8,256,20,ok,300.569110,356.937195,1.187538,2546.989920,1884.351173,,318.108918,
decode-dbo-crosslayer,8,512,20,ok,307.504936,351.484312,1.143020,3458.254976,1925.619027,,342.742464,
