mode,batch,seq,tokens,preset,ffn_ep_backend,visible_chip_pool,active_world_size,status,report
decode-dbo,64,128,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s128_t20.md
decode-dbo,128,128,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s128_t20.md
decode-dbo,256,128,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s128_t20.md
decode-dbo,512,128,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b512_s128_t20.md
decode-dbo,2,256,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s256_t20.md
decode-dbo,4,256,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s256_t20.md
decode-dbo,8,256,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s256_t20.md
decode-dbo,16,256,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s256_t20.md
decode-dbo,32,256,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s256_t20.md
decode-dbo,64,256,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s256_t20.md
decode-dbo,128,256,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s256_t20.md
decode-dbo,256,256,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s256_t20.md
decode-dbo,512,256,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b512_s256_t20.md
decode-dbo,2,512,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s512_t20.md
decode-dbo,4,512,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s512_t20.md
decode-dbo,8,512,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s512_t20.md
decode-dbo,16,512,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s512_t20.md
decode-dbo,32,512,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s512_t20.md
decode-dbo,64,512,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s512_t20.md
decode-dbo,128,512,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s512_t20.md
decode-dbo,256,512,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s512_t20.md
decode-dbo,512,512,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b512_s512_t20.md
decode-dbo,2,1024,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s1024_t20.md
