mode,batch,seq,tokens,status,tpot_ms,serial_tpot_ms,speedup,correctness_tokens
decode-dbo-crosslayer,64,1024,20,ok,671.962,825.4,1.228,
decode-dbo-crosslayer,128,1024,20,ok,1003.713,982.756,0.979,
decode-dbo-crosslayer,256,1024,20,ok,1655.603,1543.601,0.932,
decode-dbo-crosslayer,512,1024,20,OOM,,,,
decode-dbo-crosslayer,2,2048,20,OOM,,,,
prefill-dbo,8,512,20,ok,,,,
prefill-dbo,16,512,20,ok,,,,
prefill-dbo,32,512,20,ok,,,,
prefill-dbo,64,512,20,ok,,,,
prefill-dbo,8,1024,20,ok,,,,
prefill-dbo,16,1024,20,ok,,,,
prefill-dbo,32,1024,20,ok,,,,
prefill-dbo,64,1024,20,ok,,,,
