mode,batch,seq,tokens,status,decode_tpot_ms,h1_hbm_usage_rate_samples,h1_hbm_usage_rate_mean,h1_hbm_usage_rate_p95,h1_hbm_usage_rate_max,h1_hbm_usage_rate_nonzero_mean,h1_aicore_usage_rate_samples,h1_aicore_usage_rate_mean,h1_aicore_usage_rate_p95,h1_aicore_usage_rate_max,h1_aicore_usage_rate_nonzero_mean,h1_aivector_usage_rate_samples,h1_aivector_usage_rate_mean,h1_aivector_usage_rate_p95,h1_aivector_usage_rate_max,h1_aivector_usage_rate_nonzero_mean,h1_aicpu_usage_rate_samples,h1_aicpu_usage_rate_mean,h1_aicpu_usage_rate_p95,h1_aicpu_usage_rate_max,h1_aicpu_usage_rate_nonzero_mean,h1_ctrlcpu_usage_rate_samples,h1_ctrlcpu_usage_rate_mean,h1_ctrlcpu_usage_rate_p95,h1_ctrlcpu_usage_rate_max,h1_ctrlcpu_usage_rate_nonzero_mean,h1_hbm_bandwidth_usage_rate_samples,h1_hbm_bandwidth_usage_rate_mean,h1_hbm_bandwidth_usage_rate_p95,h1_hbm_bandwidth_usage_rate_max,h1_hbm_bandwidth_usage_rate_nonzero_mean,h1_npu_utilization_samples,h1_npu_utilization_mean,h1_npu_utilization_p95,h1_npu_utilization_max,h1_npu_utilization_nonzero_mean,h1_aicube_usage_rate_samples,h1_aicube_usage_rate_mean,h1_aicube_usage_rate_p95,h1_aicube_usage_rate_max,h1_aicube_usage_rate_nonzero_mean,h2_hbm_usage_rate_samples,h2_hbm_usage_rate_mean,h2_hbm_usage_rate_p95,h2_hbm_usage_rate_max,h2_hbm_usage_rate_nonzero_mean,h2_aicore_usage_rate_samples,h2_aicore_usage_rate_mean,h2_aicore_usage_rate_p95,h2_aicore_usage_rate_max,h2_aicore_usage_rate_nonzero_mean,h2_aivector_usage_rate_samples,h2_aivector_usage_rate_mean,h2_aivector_usage_rate_p95,h2_aivector_usage_rate_max,h2_aivector_usage_rate_nonzero_mean,h2_aicpu_usage_rate_samples,h2_aicpu_usage_rate_mean,h2_aicpu_usage_rate_p95,h2_aicpu_usage_rate_max,h2_aicpu_usage_rate_nonzero_mean,h2_ctrlcpu_usage_rate_samples,h2_ctrlcpu_usage_rate_mean,h2_ctrlcpu_usage_rate_p95,h2_ctrlcpu_usage_rate_max,h2_ctrlcpu_usage_rate_nonzero_mean,h2_hbm_bandwidth_usage_rate_samples,h2_hbm_bandwidth_usage_rate_mean,h2_hbm_bandwidth_usage_rate_p95,h2_hbm_bandwidth_usage_rate_max,h2_hbm_bandwidth_usage_rate_nonzero_mean,h2_npu_utilization_samples,h2_npu_utilization_mean,h2_npu_utilization_p95,h2_npu_utilization_max,h2_npu_utilization_nonzero_mean,h2_aicube_usage_rate_samples,h2_aicube_usage_rate_mean,h2_aicube_usage_rate_p95,h2_aicube_usage_rate_max,h2_aicube_usage_rate_nonzero_mean
decode-dbo,16,128,20,OK,315.297,109,7.633,10.6,11.0,7.633,109,1.018,0.0,71.0,37.0,109,0.138,0.0,11.0,5.0,109,0.101,0.0,3.0,2.2,109,5.055,9.0,22.0,5.055,109,0.009,0.0,1.0,1.0,109,1.211,0.0,37.0,26.4,109,0.046,0.0,2.0,1.667,237,4.895,11.0,13.0,4.895,237,0.051,0.0,3.0,1.714,237,0.03,0.0,2.0,1.167,237,0.051,0.0,2.0,1.2,237,4.793,14.0,26.0,5.004,237,0.0,0.0,0.0,0.0,237,0.764,0.0,24.0,16.455,237,0.004,0.0,1.0,1.0
decode-dbo-crosslayer,16,128,20,OK,333.745,112,7.58,11.0,11.0,7.58,112,0.714,0.0,63.0,26.667,112,0.196,0.0,18.0,7.333,112,0.08,0.0,3.0,2.25,112,4.92,11.0,23.0,5.009,112,0.0,0.0,0.0,0.0,112,1.393,0.0,51.0,31.2,112,0.018,0.0,1.0,1.0,240,5.033,11.0,13.0,5.033,240,0.037,0.0,3.0,1.8,240,0.021,0.0,1.0,1.0,240,0.058,0.0,2.0,1.4,240,4.471,11.05,27.0,4.645,240,0.004,0.0,1.0,1.0,240,0.85,0.0,31.0,18.545,240,0.008,0.0,1.0,1.0
serial,32,128,20,OK,309.110,112,7.67,11.0,12.0,7.67,112,0.134,0.0,5.0,3.75,112,0.58,0.0,45.0,16.25,112,0.161,0.0,7.0,4.5,112,4.795,10.0,21.0,4.882,112,0.018,0.0,1.0,1.0,112,1.393,1.35,48.0,26.0,112,0.009,0.0,1.0,1.0,244,5.135,11.0,13.0,5.135,244,0.037,0.0,2.0,1.286,244,0.02,0.0,1.0,1.0,244,0.02,0.0,1.0,1.0,244,4.295,13.7,23.0,4.537,244,0.004,0.0,1.0,1.0,244,0.471,0.0,17.0,9.583,244,0.012,0.0,1.0,1.0
decode-dbo,32,128,20,OK,368.874,112,7.741,11.0,12.0,7.741,112,0.5,0.0,40.0,14.0,112,0.366,0.0,33.0,10.25,112,0.161,0.0,5.0,3.6,112,4.893,9.45,22.0,4.937,112,0.027,0.0,1.0,1.0,112,1.616,0.0,55.0,36.2,112,0.054,0.0,2.0,2.0,243,5.296,12.0,13.0,5.296,243,0.025,0.0,3.0,1.5,243,0.033,0.0,3.0,1.333,243,0.053,0.0,2.0,1.182,243,4.584,12.9,31.0,4.761,243,0.0,0.0,0.0,0.0,243,0.782,2.7,37.0,14.615,243,0.037,0.0,1.0,1.0
decode-dbo-crosslayer,32,128,20,OK,371.677,111,7.685,11.0,12.0,7.685,111,1.027,0.0,74.0,22.8,111,0.189,0.0,10.0,5.25,111,0.18,0.0,5.0,4.0,111,5.153,11.0,19.0,5.2,111,0.009,0.0,1.0,1.0,111,1.685,3.0,55.0,31.167,111,0.108,0.0,7.0,3.0,240,5.083,12.0,13.0,5.083,240,0.1,0.0,5.0,2.667,240,0.033,0.0,1.0,1.0,240,0.05,0.0,2.0,1.2,240,4.304,12.0,33.0,4.453,240,0.004,0.0,1.0,1.0,240,0.746,6.0,20.0,12.786,240,0.013,0.0,1.0,1.0
serial,64,128,20,OK,434.658,115,7.852,11.6,13.0,7.852,115,0.087,0.0,5.0,3.333,115,0.096,0.0,3.0,2.75,115,0.357,1.6,9.0,5.857,115,4.861,10.3,20.0,4.861,115,0.07,0.0,5.0,2.0,115,2.73,0.0,82.0,62.8,115,0.087,0.0,2.0,2.0,250,5.432,13.0,14.0,5.432,250,0.036,0.0,2.0,1.8,250,0.02,0.0,1.0,1.0,250,0.008,0.0,2.0,2.0,250,4.304,11.0,24.0,4.446,250,0.008,0.0,1.0,1.0,250,0.624,0.0,34.0,13.0,250,0.012,0.0,1.0,1.0
decode-dbo,64,128,20,OK,509.576,115,7.887,13.0,13.0,7.887,115,0.209,0.0,7.0,6.0,115,0.6,0.6,38.0,11.5,115,0.322,2.3,7.0,4.625,115,5.296,11.3,20.0,5.296,115,0.087,1.0,4.0,1.429,115,2.835,8.1,86.0,46.571,115,0.052,0.0,2.0,2.0,249,5.225,13.0,14.0,5.225,249,0.092,0.0,3.0,2.3,249,0.032,0.0,1.0,1.0,249,0.028,0.0,1.0,1.0,249,4.241,10.0,31.0,4.382,249,0.0,0.0,0.0,0.0,249,0.683,3.0,27.0,12.143,249,0.016,0.0,1.0,1.0
decode-dbo-crosslayer,64,128,20,OK,517.083,115,7.852,13.0,13.0,7.852,115,1.861,0.0,100.0,42.8,115,0.296,2.3,13.0,4.857,115,0.313,3.3,6.0,5.143,115,4.817,10.0,28.0,4.86,115,0.078,0.0,6.0,2.25,115,2.67,7.2,82.0,43.857,115,0.07,0.0,2.0,1.6,247,5.551,13.0,14.0,5.551,247,0.085,0.0,4.0,2.333,247,0.057,0.0,4.0,1.273,247,0.045,0.0,1.0,1.0,247,4.543,12.0,24.0,4.675,247,0.0,0.0,0.0,0.0,247,1.053,8.8,27.0,15.294,247,0.028,0.0,1.0,1.0
serial,128,128,20,OK,622.943,116,8.672,16.0,16.0,8.672,116,1.664,7.0,97.0,27.571,116,0.595,0.0,44.0,17.25,116,0.629,7.0,13.0,8.111,116,5.405,12.25,21.0,5.5,116,0.06,0.0,3.0,2.333,116,4.655,30.5,100.0,60.0,116,0.121,0.0,8.0,3.5,253,5.668,14.0,16.0,5.668,253,0.059,0.0,3.0,1.875,253,0.02,0.0,1.0,1.0,253,0.008,0.0,1.0,1.0,253,4.672,13.4,22.0,4.805,253,0.067,0.0,5.0,1.889,253,0.569,3.0,24.0,9.0,253,0.016,0.0,1.0,1.0
decode-dbo,128,128,20,OK,715.212,117,8.812,16.0,16.0,8.812,117,0.513,0.0,27.0,12.0,117,1.556,0.2,90.0,30.333,117,0.487,6.0,9.0,6.333,117,5.009,10.2,24.0,5.186,117,0.137,0.0,13.0,4.0,117,3.889,21.4,100.0,41.364,117,0.128,0.0,8.0,3.75,256,5.711,14.0,16.0,5.711,256,0.059,0.0,6.0,2.5,256,0.027,0.0,3.0,1.4,256,0.02,0.0,1.0,1.0,256,4.738,14.0,30.0,4.911,256,0.035,0.0,4.0,3.0,256,0.359,0.0,20.0,7.667,256,0.039,0.0,1.0,1.0
