mode,batch,seq,tokens,status,decode_tpot_ms,h1_hbm_usage_rate_samples,h1_hbm_usage_rate_mean,h1_hbm_usage_rate_p95,h1_hbm_usage_rate_max,h1_hbm_usage_rate_nonzero_mean,h1_aicore_usage_rate_samples,h1_aicore_usage_rate_mean,h1_aicore_usage_rate_p95,h1_aicore_usage_rate_max,h1_aicore_usage_rate_nonzero_mean,h1_aivector_usage_rate_samples,h1_aivector_usage_rate_mean,h1_aivector_usage_rate_p95,h1_aivector_usage_rate_max,h1_aivector_usage_rate_nonzero_mean,h1_aicpu_usage_rate_samples,h1_aicpu_usage_rate_mean,h1_aicpu_usage_rate_p95,h1_aicpu_usage_rate_max,h1_aicpu_usage_rate_nonzero_mean,h1_ctrlcpu_usage_rate_samples,h1_ctrlcpu_usage_rate_mean,h1_ctrlcpu_usage_rate_p95,h1_ctrlcpu_usage_rate_max,h1_ctrlcpu_usage_rate_nonzero_mean,h1_hbm_bandwidth_usage_rate_samples,h1_hbm_bandwidth_usage_rate_mean,h1_hbm_bandwidth_usage_rate_p95,h1_hbm_bandwidth_usage_rate_max,h1_hbm_bandwidth_usage_rate_nonzero_mean,h1_npu_utilization_samples,h1_npu_utilization_mean,h1_npu_utilization_p95,h1_npu_utilization_max,h1_npu_utilization_nonzero_mean,h1_aicube_usage_rate_samples,h1_aicube_usage_rate_mean,h1_aicube_usage_rate_p95,h1_aicube_usage_rate_max,h1_aicube_usage_rate_nonzero_mean,h2_hbm_usage_rate_samples,h2_hbm_usage_rate_mean,h2_hbm_usage_rate_p95,h2_hbm_usage_rate_max,h2_hbm_usage_rate_nonzero_mean,h2_aicore_usage_rate_samples,h2_aicore_usage_rate_mean,h2_aicore_usage_rate_p95,h2_aicore_usage_rate_max,h2_aicore_usage_rate_nonzero_mean,h2_aivector_usage_rate_samples,h2_aivector_usage_rate_mean,h2_aivector_usage_rate_p95,h2_aivector_usage_rate_max,h2_aivector_usage_rate_nonzero_mean,h2_aicpu_usage_rate_samples,h2_aicpu_usage_rate_mean,h2_aicpu_usage_rate_p95,h2_aicpu_usage_rate_max,h2_aicpu_usage_rate_nonzero_mean,h2_ctrlcpu_usage_rate_samples,h2_ctrlcpu_usage_rate_mean,h2_ctrlcpu_usage_rate_p95,h2_ctrlcpu_usage_rate_max,h2_ctrlcpu_usage_rate_nonzero_mean,h2_hbm_bandwidth_usage_rate_samples,h2_hbm_bandwidth_usage_rate_mean,h2_hbm_bandwidth_usage_rate_p95,h2_hbm_bandwidth_usage_rate_max,h2_hbm_bandwidth_usage_rate_nonzero_mean,h2_npu_utilization_samples,h2_npu_utilization_mean,h2_npu_utilization_p95,h2_npu_utilization_max,h2_npu_utilization_nonzero_mean,h2_aicube_usage_rate_samples,h2_aicube_usage_rate_mean,h2_aicube_usage_rate_p95,h2_aicube_usage_rate_max,h2_aicube_usage_rate_nonzero_mean
serial,8,256,20,OK,223.417,111,7.685,10.0,11.0,7.685,111,0.396,0.0,27.0,14.667,111,0.207,0.0,9.0,7.667,111,0.045,0.0,2.0,1.667,111,4.892,10.5,14.0,4.936,111,0.018,0.0,1.0,1.0,111,0.82,0.0,41.0,22.75,111,0.054,0.0,5.0,3.0,240,4.763,10.0,12.0,4.763,240,0.013,0.0,1.0,1.0,240,0.008,0.0,1.0,1.0,240,0.029,0.0,1.0,1.0,240,4.042,12.0,29.0,4.11,240,0.013,0.0,2.0,1.5,240,0.429,0.0,24.0,11.444,240,0.0,0.0,0.0,0.0
decode-dbo,8,256,20,OK,279.906,114,7.728,10.35,11.0,7.728,114,0.667,0.0,68.0,25.333,114,0.07,0.0,4.0,2.667,114,0.07,0.0,2.0,1.6,114,5.035,10.0,19.0,5.125,114,0.026,0.0,1.0,1.0,114,0.886,0.0,37.0,20.2,114,0.026,0.0,2.0,1.5,243,5.119,11.0,12.0,5.119,243,0.037,0.0,2.0,1.286,243,0.016,0.0,1.0,1.0,243,0.041,0.0,2.0,1.25,243,4.305,11.0,22.0,4.489,243,0.012,0.0,3.0,3.0,243,0.872,0.0,34.0,17.667,243,0.0,0.0,0.0,0.0
decode-dbo-crosslayer,8,256,20,OK,276.059,110,7.645,10.55,11.0,7.645,110,0.109,0.0,4.0,4.0,110,0.209,0.0,11.0,7.667,110,0.073,0.0,2.0,1.6,110,5.1,12.0,21.0,5.1,110,0.0,0.0,0.0,0.0,110,0.982,0.0,37.0,21.6,110,0.036,0.0,2.0,1.333,237,5.089,11.0,13.0,5.089,237,0.03,0.0,2.0,1.75,237,0.017,0.0,2.0,1.333,237,0.051,0.0,3.0,1.5,237,4.342,13.2,26.0,4.533,237,0.008,0.0,1.0,1.0,237,0.553,0.0,27.0,16.375,237,0.0,0.0,0.0,0.0
serial,16,256,20,OK,248.154,112,7.679,10.45,12.0,7.679,112,0.33,0.0,26.0,9.25,112,0.17,0.0,14.0,6.333,112,0.08,0.0,3.0,3.0,112,4.812,9.0,25.0,4.945,112,0.045,0.0,2.0,1.25,112,1.027,0.0,44.0,38.333,112,0.009,0.0,1.0,1.0,240,5.158,11.0,13.0,5.158,240,0.021,0.0,1.0,1.0,240,0.004,0.0,1.0,1.0,240,0.033,0.0,1.0,1.0,240,4.362,11.0,30.0,4.552,240,0.0,0.0,0.0,0.0,240,0.317,0.0,13.0,8.444,240,0.0,0.0,0.0,0.0
decode-dbo,16,256,20,OK,311.942,113,7.708,11.0,12.0,7.708,113,0.451,0.4,19.0,8.5,113,0.442,0.0,23.0,10.0,113,0.097,0.0,3.0,2.75,113,5.442,11.8,21.0,5.491,113,0.027,0.0,1.0,1.0,113,1.673,5.8,44.0,27.0,113,0.044,0.0,2.0,1.667,242,4.996,11.95,13.0,4.996,242,0.062,0.0,3.0,2.143,242,0.025,0.0,1.0,1.0,242,0.054,0.0,2.0,1.182,242,4.649,14.0,32.0,4.87,242,0.008,0.0,1.0,1.0,242,0.682,2.85,31.0,12.692,242,0.004,0.0,1.0,1.0
decode-dbo-crosslayer,16,256,20,OK,319.202,110,7.636,11.0,12.0,7.636,110,0.318,0.0,25.0,11.667,110,0.191,0.0,16.0,7.0,110,0.1,0.0,3.0,2.2,110,5.055,10.55,23.0,5.148,110,0.009,0.0,1.0,1.0,110,1.727,5.5,44.0,31.667,110,0.009,0.0,1.0,1.0,244,5.238,11.85,13.0,5.238,244,0.037,0.0,2.0,1.5,244,0.029,0.0,1.0,1.0,244,0.057,0.0,2.0,1.167,244,4.504,13.55,30.0,4.637,244,0.02,0.0,4.0,2.5,244,0.758,0.0,24.0,15.417,244,0.008,0.0,1.0,1.0
serial,32,256,20,OK,298.740,113,7.779,11.0,13.0,7.779,113,0.274,0.0,9.0,6.2,113,0.85,0.0,46.0,24.0,113,0.186,0.0,6.0,4.2,113,6.292,11.0,92.0,6.292,113,0.044,0.0,1.0,1.0,113,1.248,3.0,44.0,20.143,113,0.018,0.0,1.0,1.0,245,5.041,12.0,14.0,5.041,245,0.045,0.0,2.0,1.375,245,0.02,0.0,1.0,1.0,245,0.033,0.0,1.0,1.0,245,4.216,11.0,28.0,4.34,245,0.02,0.0,3.0,2.5,245,0.735,2.4,34.0,13.846,245,0.012,0.0,1.0,1.0
decode-dbo,32,256,20,OK,384.361,113,7.823,11.4,13.0,7.823,113,0.407,0.0,25.0,9.2,113,0.584,0.0,43.0,13.2,113,0.15,0.0,5.0,4.25,113,5.097,10.4,28.0,5.236,113,0.053,0.0,2.0,1.5,113,2.363,21.6,55.0,38.143,113,0.053,0.0,2.0,1.5,246,5.28,12.75,14.0,5.28,246,0.085,0.0,3.0,2.333,246,0.028,0.0,1.0,1.0,246,0.049,0.0,1.0,1.0,246,4.679,13.75,29.0,4.857,246,0.0,0.0,0.0,0.0,246,0.98,5.25,41.0,17.214,246,0.008,0.0,1.0,1.0
decode-dbo-crosslayer,32,256,20,OK,374.590,113,7.876,11.4,13.0,7.876,113,0.575,1.2,35.0,10.833,113,0.363,0.0,29.0,8.2,113,0.159,0.4,5.0,3.0,113,5.071,11.0,23.0,5.257,113,0.062,0.4,2.0,1.167,113,1.743,7.6,48.0,28.143,113,0.062,0.0,2.0,1.75,246,5.248,12.0,14.0,5.248,246,0.098,0.0,3.0,2.4,246,0.033,0.0,1.0,1.0,246,0.053,0.0,2.0,1.083,246,4.776,12.0,32.0,5.021,246,0.008,0.0,2.0,2.0,246,0.772,0.0,44.0,15.833,246,0.012,0.0,1.0,1.0
serial,64,256,20,OK,422.358,114,8.658,13.7,15.0,8.658,114,1.649,0.0,100.0,47.0,114,0.096,0.0,6.0,3.667,114,0.307,0.0,9.0,7.0,114,5.096,11.35,25.0,5.142,114,0.105,0.0,8.0,2.4,114,3.439,6.5,89.0,49.0,114,0.14,0.0,9.0,3.2,246,5.325,14.0,16.0,5.325,246,0.065,0.0,3.0,1.778,246,0.02,0.0,1.0,1.0,246,0.016,0.0,1.0,1.0,246,4.528,13.0,25.0,4.72,246,0.02,0.0,2.0,1.25,246,0.663,3.0,27.0,10.188,246,0.02,0.0,1.0,1.0
decode-dbo,64,256,20,OK,507.994,117,8.915,15.2,16.0,8.915,117,0.547,0.0,24.0,12.8,117,0.88,0.6,48.0,17.167,117,0.333,3.4,7.0,4.875,117,5.068,10.0,31.0,5.157,117,0.137,0.0,15.0,8.0,117,2.513,13.0,82.0,32.667,117,0.094,0.0,3.0,2.2,255,5.565,14.0,16.0,5.565,255,0.078,0.0,4.0,2.5,255,0.047,0.0,3.0,1.333,255,0.039,0.0,1.0,1.0,255,4.773,13.0,29.0,4.927,255,0.02,0.0,2.0,1.25,255,0.867,6.0,41.0,11.632,255,0.02,0.0,1.0,1.0
decode-dbo-crosslayer,64,256,20,OK,512.584,118,8.847,15.15,16.0,8.847,118,1.432,0.75,100.0,28.167,118,1.381,4.0,72.0,20.375,118,0.331,3.15,7.0,4.875,118,4.873,11.0,17.0,4.957,118,0.042,0.0,4.0,2.5,118,2.797,15.1,86.0,36.667,118,0.119,0.0,8.0,3.5,255,5.341,14.0,16.0,5.341,255,0.075,0.0,4.0,2.375,255,0.047,0.0,2.0,1.2,255,0.039,0.0,1.0,1.0,255,4.655,13.0,22.0,4.806,255,0.071,0.0,10.0,3.6,255,0.863,10.0,20.0,10.0,255,0.027,0.0,1.0,1.0
serial,128,256,20,OK,613.678,118,9.305,21.0,21.0,9.305,118,1.297,10.0,55.0,21.857,118,1.093,0.3,92.0,21.5,118,0.576,7.15,12.0,9.714,118,5.169,11.15,16.0,5.169,118,0.636,2.0,27.0,9.375,118,4.441,41.0,100.0,58.222,118,0.263,1.0,14.0,4.429,256,5.984,17.0,21.0,5.984,256,0.062,0.0,3.0,2.0,256,0.066,0.0,4.0,1.889,256,0.012,0.0,1.0,1.0,256,4.73,12.0,25.0,4.883,256,0.035,0.0,3.0,1.5,256,0.879,6.0,37.0,13.235,256,0.02,0.0,1.0,1.0
decode-dbo,128,256,20,OK,691.473,118,9.39,21.0,21.0,9.39,118,0.737,1.5,26.0,14.5,118,0.975,1.05,48.0,19.167,118,0.661,6.3,12.0,7.8,118,5.237,10.0,21.0,5.328,118,0.195,0.15,9.0,3.833,118,3.475,20.0,100.0,37.273,118,0.042,0.0,2.0,1.667,255,5.992,17.0,21.0,5.992,255,0.082,0.0,6.0,3.5,255,0.035,0.0,6.0,3.0,255,0.031,0.0,1.0,1.0,255,4.557,12.3,30.0,4.724,255,0.118,0.0,14.0,6.0,255,0.91,0.9,37.0,17.846,255,0.012,0.0,1.0,1.0
decode-dbo-crosslayer,128,256,20,OK,698.686,118,9.415,21.0,21.0,9.415,118,2.331,10.0,100.0,34.375,118,2.085,9.2,83.0,27.333,118,0.602,6.15,13.0,7.1,118,4.661,11.15,16.0,4.867,118,0.263,0.3,18.0,5.167,118,4.085,25.05,100.0,48.2,118,0.186,0.0,14.0,5.5,255,6.125,17.0,21.0,6.125,255,0.129,0.0,12.0,5.5,255,0.008,0.0,2.0,2.0,255,0.024,0.0,1.0,1.0,255,4.973,12.3,37.0,5.072,255,0.122,0.0,9.0,3.875,255,0.51,0.0,34.0,14.444,255,0.027,0.0,1.0,1.0
serial,256,256,20,OK,1012.814,125,11.72,31.0,31.0,11.72,125,2.688,10.4,100.0,48.0,125,2.968,8.8,96.0,37.1,125,1.184,12.0,13.0,11.385,125,5.272,11.0,25.0,5.272,125,0.688,0.0,32.0,21.5,125,8.176,78.2,100.0,56.778,125,0.328,0.0,17.0,6.833,271,7.494,23.0,30.0,7.494,271,0.162,0.0,19.0,3.667,271,0.07,0.0,7.0,1.9,271,0.011,0.0,2.0,1.5,271,4.948,12.0,26.0,5.099,271,0.122,0.0,8.0,2.538,271,0.9,6.0,24.0,11.091,271,0.041,0.0,5.0,1.833
decode-dbo,256,256,20,OK,1123.641,126,11.968,32.0,32.0,11.968,126,2.579,14.75,82.0,29.545,126,0.706,6.75,28.0,12.714,126,1.095,11.75,13.0,9.857,126,5.444,12.0,21.0,5.488,126,0.611,2.25,19.0,11.0,126,8.222,100.0,100.0,57.556,126,0.508,3.0,17.0,8.0,274,7.547,24.0,30.0,7.547,274,0.219,1.0,11.0,3.75,274,0.091,1.0,4.0,1.667,274,0.011,0.0,1.0,1.0,274,4.796,13.0,28.0,4.958,274,0.088,0.0,5.0,2.667,274,1.102,10.0,27.0,12.583,274,0.044,0.0,6.0,1.714
decode-dbo-crosslayer,256,256,20,OK,1109.202,127,12.094,32.0,32.0,12.094,127,3.953,18.1,100.0,41.833,127,2.598,10.0,96.0,27.5,127,1.22,12.0,14.0,11.923,127,5.567,12.7,19.0,5.567,127,0.843,6.0,18.0,9.727,127,7.953,81.8,100.0,53.158,127,0.417,2.4,18.0,6.625,274,7.588,24.0,30.0,7.588,274,0.186,0.35,12.0,3.643,274,0.128,0.35,9.0,2.5,274,0.004,0.0,1.0,1.0,274,5.142,13.0,32.0,5.378,274,0.08,0.0,8.0,3.143,274,1.128,10.0,31.0,13.435,274,0.044,0.0,4.0,1.5
serial,2,512,20,OK,173.462,109,7.56,9.6,10.0,7.56,109,0.128,0.0,10.0,4.667,109,0.092,0.0,6.0,3.333,109,0.018,0.0,1.0,1.0,109,5.138,9.6,21.0,5.234,109,0.018,0.0,1.0,1.0,109,1.156,0.0,44.0,31.5,109,0.028,0.0,2.0,1.5,236,4.792,10.0,12.0,4.792,236,0.008,0.0,2.0,2.0,236,0.013,0.0,2.0,1.5,236,0.025,0.0,2.0,1.2,236,4.254,11.0,22.0,4.384,236,0.008,0.0,2.0,2.0,236,0.335,0.0,20.0,13.167,236,0.0,0.0,0.0,0.0
decode-dbo,2,512,20,OK,213.669,110,7.555,9.55,11.0,7.555,110,0.8,0.0,66.0,29.333,110,0.091,0.0,4.0,2.5,110,0.045,0.0,1.0,1.0,110,4.873,11.0,20.0,4.917,110,0.0,0.0,0.0,0.0,110,0.9,0.0,31.0,19.8,110,0.055,0.0,4.0,2.0,239,5.079,10.0,13.0,5.079,239,0.004,0.0,1.0,1.0,239,0.004,0.0,1.0,1.0,239,0.046,0.0,2.0,1.571,239,4.628,14.0,28.0,4.726,239,0.0,0.0,0.0,0.0,239,0.762,0.0,34.0,20.222,239,0.0,0.0,0.0,0.0
decode-dbo-crosslayer,2,512,20,OK,220.508,109,7.716,10.0,11.0,7.716,109,0.835,0.0,61.0,45.5,109,0.037,0.0,2.0,2.0,109,0.037,0.0,1.0,1.0,109,4.954,10.0,25.0,5.0,109,0.018,0.0,1.0,1.0,109,0.899,0.0,37.0,19.6,109,0.028,0.0,1.0,1.0,241,5.008,10.0,12.0,5.008,241,0.008,0.0,1.0,1.0,241,0.004,0.0,1.0,1.0,241,0.046,0.0,2.0,1.375,241,4.311,11.0,44.0,4.537,241,0.025,0.0,5.0,3.0,241,0.622,0.0,20.0,15.0,241,0.0,0.0,0.0,0.0
serial,4,512,20,OK,194.795,108,7.676,9.65,11.0,7.676,108,1.213,0.0,68.0,65.5,108,0.019,0.0,1.0,1.0,108,0.028,0.0,1.0,1.0,108,4.972,12.65,20.0,5.066,108,0.019,0.0,1.0,1.0,108,0.824,0.0,41.0,29.667,108,0.028,0.0,2.0,1.5,237,4.713,10.0,12.0,4.713,237,0.013,0.0,1.0,1.0,237,0.025,0.0,2.0,1.2,237,0.03,0.0,2.0,1.167,237,4.354,11.0,29.0,4.487,237,0.0,0.0,0.0,0.0,237,0.456,0.0,27.0,18.0,237,0.0,0.0,0.0,0.0
decode-dbo,4,512,20,OK,249.305,110,7.691,10.0,11.0,7.691,110,1.373,0.0,73.0,37.75,110,0.136,0.0,8.0,3.75,110,0.036,0.0,2.0,1.333,110,4.955,10.55,20.0,5.19,110,0.036,0.0,1.0,1.0,110,1.282,4.65,41.0,20.143,110,0.082,0.0,6.0,2.25,239,5.021,11.0,13.0,5.021,239,0.038,0.0,2.0,1.286,239,0.029,0.0,2.0,1.167,239,0.046,0.0,3.0,1.571,239,4.41,10.0,29.0,4.563,239,0.008,0.0,1.0,1.0,239,0.69,0.0,24.0,18.333,239,0.0,0.0,0.0,0.0
decode-dbo-crosslayer,4,512,20,OK,247.316,110,7.627,10.0,11.0,7.627,110,1.136,0.0,71.0,31.25,110,0.027,0.0,1.0,1.0,110,0.018,0.0,1.0,1.0,110,4.936,12.1,22.0,5.075,110,0.0,0.0,0.0,0.0,110,1.173,0.0,41.0,25.8,110,0.027,0.0,2.0,1.5,239,4.941,10.1,13.0,4.941,239,0.038,0.0,3.0,1.5,239,0.017,0.0,1.0,1.0,239,0.054,0.0,3.0,1.857,239,4.331,12.1,31.0,4.52,239,0.004,0.0,1.0,1.0,239,0.661,0.0,34.0,19.75,239,0.0,0.0,0.0,0.0
serial,8,512,20,OK,212.233,111,7.694,10.5,11.0,7.694,111,0.595,0.0,61.0,33.0,111,0.063,0.0,3.0,2.333,111,0.054,0.0,2.0,1.5,111,4.982,10.5,18.0,5.027,111,0.027,0.0,1.0,1.0,111,0.64,0.0,37.0,35.5,111,0.009,0.0,1.0,1.0,240,4.883,11.0,13.0,4.883,240,0.021,0.0,1.0,1.0,240,0.013,0.0,1.0,1.0,240,0.029,0.0,1.0,1.0,240,4.342,11.0,31.0,4.491,240,0.004,0.0,1.0,1.0,240,0.454,0.0,24.0,10.9,240,0.0,0.0,0.0,0.0
decode-dbo,8,512,20,OK,269.592,114,7.816,11.0,12.0,7.816,114,0.114,0.0,5.0,4.333,114,0.167,0.0,11.0,4.75,114,0.053,0.0,3.0,2.0,114,4.816,9.0,19.0,4.902,114,0.026,0.0,1.0,1.0,114,1.237,1.05,37.0,23.5,114,0.044,0.0,2.0,1.25,246,5.167,11.75,13.0,5.167,246,0.041,0.0,3.0,1.429,246,0.024,0.0,1.0,1.0,246,0.049,0.0,2.0,1.5,246,4.183,10.0,27.0,4.397,246,0.0,0.0,0.0,0.0,246,0.85,0.0,34.0,20.9,246,0.0,0.0,0.0,0.0
decode-dbo-crosslayer,8,512,20,OK,275.624,111,7.739,11.0,12.0,7.739,111,0.937,0.0,75.0,26.0,111,0.171,0.0,10.0,4.75,111,0.072,0.0,2.0,1.6,111,5.378,13.5,24.0,5.427,111,0.027,0.0,1.0,1.0,111,0.91,0.0,34.0,20.2,111,0.099,0.0,8.0,3.667,240,5.008,11.05,13.0,5.008,240,0.021,0.0,2.0,1.25,240,0.017,0.0,2.0,1.333,240,0.054,0.0,2.0,1.444,240,4.342,11.0,27.0,4.453,240,0.017,0.0,2.0,1.333,240,0.762,0.15,44.0,15.25,240,0.004,0.0,1.0,1.0
serial,16,512,20,OK,248.729,112,7.786,11.0,13.0,7.786,112,0.607,0.0,30.0,17.0,112,0.411,0.0,17.0,15.333,112,0.08,0.0,3.0,3.0,112,4.946,9.9,20.0,5.13,112,0.071,0.0,6.0,4.0,112,1.438,0.0,48.0,40.25,112,0.036,0.0,2.0,2.0,243,5.091,11.9,14.0,5.091,243,0.025,0.0,1.0,1.0,243,0.033,0.0,2.0,1.143,243,0.033,0.0,1.0,1.0,243,4.284,12.0,26.0,4.411,243,0.025,0.0,5.0,3.0,243,0.613,0.0,20.0,13.545,243,0.004,0.0,1.0,1.0
decode-dbo,16,512,20,OK,314.568,112,7.714,11.0,13.0,7.714,112,0.411,1.35,14.0,7.667,112,0.339,0.0,21.0,7.6,112,0.071,0.0,3.0,2.0,112,5.08,11.45,19.0,5.126,112,0.054,0.0,5.0,3.0,112,1.607,7.5,41.0,25.714,112,0.134,0.0,11.0,3.75,240,5.279,12.05,13.0,5.279,240,0.067,0.0,4.0,2.667,240,0.017,0.0,2.0,1.333,240,0.05,0.0,2.0,1.333,240,4.517,12.05,26.0,4.693,240,0.004,0.0,1.0,1.0,240,0.875,0.0,34.0,19.091,240,0.004,0.0,1.0,1.0
decode-dbo-crosslayer,16,512,20,OK,315.783,110,7.936,11.0,13.0,7.936,110,0.573,0.0,38.0,12.6,110,0.2,0.0,7.0,4.4,110,0.082,0.0,3.0,2.25,110,4.882,10.55,14.0,4.882,110,0.045,0.0,2.0,1.25,110,1.327,0.0,48.0,29.2,110,0.064,0.0,3.0,1.75,244,5.279,12.0,14.0,5.279,244,0.061,0.0,3.0,2.143,244,0.041,0.0,4.0,1.429,244,0.049,0.0,2.0,1.091,244,4.807,15.85,28.0,4.991,244,0.016,0.0,2.0,1.333,244,0.947,3.0,27.0,16.5,244,0.004,0.0,1.0,1.0
serial,32,512,20,OK,301.165,112,8.518,12.45,15.0,8.518,112,0.964,0.0,79.0,36.0,112,0.562,0.0,46.0,15.75,112,0.205,0.0,7.0,4.6,112,4.857,12.0,19.0,4.857,112,0.116,0.0,8.0,3.25,112,1.259,0.0,51.0,28.2,112,0.143,0.0,12.0,5.333,242,5.364,12.0,16.0,5.364,242,0.029,0.0,2.0,1.75,242,0.021,0.0,2.0,1.25,242,0.033,0.0,1.0,1.0,242,4.409,11.9,23.0,4.599,242,0.012,0.0,2.0,1.5,242,0.438,2.85,13.0,8.154,242,0.012,0.0,1.0,1.0
decode-dbo,32,512,20,OK,378.485,115,8.617,13.3,15.0,8.617,115,1.017,0.0,73.0,29.25,115,0.365,0.0,27.0,10.5,115,0.157,0.3,5.0,3.0,115,4.765,10.3,19.0,4.765,115,0.209,0.0,11.0,6.0,115,1.539,6.0,51.0,22.125,115,0.087,0.0,4.0,2.0,249,5.349,14.0,16.0,5.349,249,0.072,0.0,3.0,2.0,249,0.032,0.0,1.0,1.0,249,0.048,0.0,2.0,1.091,249,4.627,13.6,22.0,4.664,249,0.02,0.0,3.0,1.667,249,0.996,8.4,31.0,15.5,249,0.012,0.0,1.0,1.0
decode-dbo-crosslayer,32,512,20,OK,379.001,114,8.579,12.35,15.0,8.579,114,1.167,2.45,61.0,22.167,114,0.623,0.35,46.0,11.833,114,0.149,0.0,5.0,3.4,114,5.0,11.0,16.0,5.0,114,0.158,0.35,11.0,3.0,114,1.781,7.9,58.0,22.556,114,0.053,0.0,2.0,2.0,246,5.333,14.0,16.0,5.333,246,0.102,0.0,6.0,3.125,246,0.028,0.0,1.0,1.0,246,0.057,0.75,2.0,1.077,246,4.577,15.0,24.0,4.711,246,0.024,0.0,3.0,2.0,246,0.797,5.25,27.0,13.067,246,0.016,0.0,1.0,1.0
serial,64,512,20,OK,424.393,115,9.078,17.2,20.0,9.078,115,0.843,5.1,26.0,13.857,115,1.339,1.8,72.0,25.667,115,0.313,0.3,8.0,6.0,115,4.87,10.0,17.0,5.0,115,0.278,0.0,18.0,8.0,115,1.948,10.9,55.0,28.0,115,0.148,0.0,13.0,5.667,245,5.539,15.8,19.0,5.539,245,0.029,0.0,3.0,1.75,245,0.02,0.0,2.0,1.25,245,0.004,0.0,1.0,1.0,245,5.302,15.8,32.0,5.435,245,0.073,0.0,9.0,4.5,245,0.678,3.0,24.0,10.375,245,0.008,0.0,1.0,1.0
decode-dbo,64,512,20,OK,501.098,118,9.178,19.15,20.0,9.178,118,2.169,8.3,100.0,36.571,118,0.602,0.3,29.0,11.833,118,0.373,3.45,7.0,5.5,118,5.0,11.0,20.0,5.086,118,0.407,2.15,17.0,6.857,118,2.975,19.1,65.0,39.0,118,0.169,0.0,13.0,5.0,252,5.675,16.0,19.0,5.675,252,0.107,0.0,10.0,3.375,252,0.052,0.0,6.0,1.857,252,0.036,0.0,1.0,1.0,252,4.77,12.45,24.0,4.847,252,0.044,0.0,4.0,2.2,252,0.734,4.35,24.0,11.562,252,0.02,0.0,1.0,1.0
decode-dbo-crosslayer,64,512,20,OK,513.508,117,9.239,20.0,20.0,9.239,117,1.342,3.4,55.0,22.429,117,1.427,4.4,66.0,20.875,117,0.316,3.0,6.0,4.625,117,5.453,13.0,20.0,5.5,117,0.282,0.0,24.0,16.5,117,3.504,31.0,86.0,45.556,117,0.068,0.0,2.0,2.0,252,5.734,16.0,19.0,5.734,252,0.095,0.0,9.0,3.0,252,0.032,0.0,3.0,1.333,252,0.032,0.0,1.0,1.0,252,5.302,13.0,34.0,5.453,252,0.099,0.0,8.0,3.125,252,0.817,3.0,27.0,12.875,252,0.032,0.0,2.0,1.143
serial,128,512,20,OK,623.415,120,11.067,30.0,30.0,11.067,120,3.158,12.05,100.0,47.375,120,2.067,7.7,79.0,27.556,120,0.642,7.05,13.0,8.556,120,5.225,10.05,21.0,5.225,120,0.408,0.0,22.0,9.8,120,4.492,34.35,100.0,41.462,120,0.167,0.0,11.0,6.667,258,6.488,21.0,26.0,6.488,258,0.159,0.0,16.0,3.727,258,0.132,0.0,10.0,4.25,258,0.012,0.0,1.0,1.0,258,5.027,12.15,29.0,5.167,258,0.116,0.0,6.0,2.5,258,0.853,6.0,24.0,11.0,258,0.023,0.0,4.0,2.0
decode-dbo,128,512,20,OK,725.775,121,11.24,30.0,30.0,11.24,121,1.545,9.0,67.0,23.375,121,2.223,9.0,95.0,33.625,121,0.678,7.0,12.0,8.2,121,5.124,11.0,20.0,5.21,121,0.661,6.0,18.0,8.889,121,5.38,41.0,100.0,46.5,121,0.198,0.0,13.0,4.8,260,6.696,21.05,26.0,6.696,260,0.131,0.0,8.0,2.833,260,0.065,0.0,6.0,1.417,260,0.023,0.0,1.0,1.0,260,5.619,14.05,32.0,5.707,260,0.131,0.0,8.0,4.857,260,1.05,6.2,27.0,11.375,260,0.031,0.0,3.0,1.333
decode-dbo-crosslayer,128,512,20,OK,718.678,121,11.074,30.0,30.0,11.074,121,3.529,15.0,100.0,42.7,121,2.372,9.0,95.0,28.7,121,0.653,6.0,12.0,7.182,121,5.116,11.0,25.0,5.116,121,0.826,6.0,18.0,11.111,121,4.653,37.0,100.0,43.308,121,0.463,0.0,19.0,9.333,261,7.08,22.0,26.0,7.08,261,0.13,0.0,11.0,3.4,261,0.061,0.0,6.0,5.333,261,0.015,0.0,1.0,1.0,261,5.253,13.0,32.0,5.335,261,0.184,0.0,11.0,5.333,261,0.667,3.0,27.0,11.6,261,0.008,0.0,1.0,1.0
serial,256,512,20,OK,1021.925,127,15.85,49.0,49.0,15.85,127,3.717,20.7,100.0,47.2,127,1.937,2.1,96.0,35.143,127,1.087,12.0,13.0,11.5,127,5.189,10.7,28.0,5.23,127,1.094,1.4,37.0,19.857,127,8.732,96.0,100.0,58.368,127,0.307,0.0,13.0,6.5,272,9.081,32.0,41.0,9.081,272,0.136,0.0,7.0,3.083,272,0.085,0.0,13.0,2.556,272,0.018,0.0,1.0,1.0,272,5.618,15.0,37.0,5.723,272,0.158,0.0,7.0,3.308,272,0.923,6.0,27.0,9.296,272,0.07,0.0,6.0,2.714
